Time	Open	High	Low	Close	Volume
2025.07.02 00:00	181.122	181.122	181.122	181.122	1
2025.07.02 00:01	181.122	181.122	181.122	181.122	1
2025.07.02 00:02	181.122	181.122	181.122	181.122	1
2025.07.02 00:03	181.121	181.121	181.008	181.008	2
2025.07.02 00:04	181.023	181.117	181.021	181.117	21
2025.07.02 00:05	181.13	181.13	181.13	181.13	1
2025.07.02 00:06	181.045	181.045	181.044	181.044	2
2025.07.02 00:07	181.043	181.114	181.029	181.114	4
2025.07.02 00:08	181.116	181.119	181.06	181.06	9
2025.07.02 00:09	181.06	181.06	181.058	181.058	2
2025.07.02 00:10	181.058	181.063	181.058	181.063	3
2025.07.02 00:11	181.063	181.063	181.063	181.063	1
2025.07.02 00:12	181.063	181.063	181.063	181.063	1
2025.07.02 00:13	181.063	181.063	181.063	181.063	1
2025.07.02 00:14	181.063	181.064	181.063	181.063	3
2025.07.02 00:15	181.063	181.063	181.054	181.054	4
2025.07.02 00:16	181.054	181.054	181.054	181.054	1
2025.07.02 00:17	181.054	181.056	181.054	181.056	3
2025.07.02 00:18	181.056	181.056	181.056	181.056	1
2025.07.02 00:19	181.056	181.067	181.056	181.066	7
2025.07.02 00:20	181.062	181.064	181.062	181.064	2
2025.07.02 00:21	181.064	181.064	181.028	181.031	8
2025.07.02 00:22	181.031	181.057	181.031	181.057	5
2025.07.02 00:23	181.057	181.061	181.057	181.061	3
2025.07.02 00:24	181.061	181.063	181.061	181.063	4
2025.07.02 00:25	181.063	181.063	181.063	181.063	1
2025.07.02 00:26	181.063	181.064	181.055	181.055	11
2025.07.02 00:27	181.055	181.064	181.051	181.056	12
2025.07.02 00:28	181.056	181.057	181.051	181.051	12
2025.07.02 00:29	181.05	181.064	181.041	181.049	20
2025.07.02 00:30	181.049	181.049	181.037	181.037	8
2025.07.02 00:31	181.033	181.065	181.033	181.065	6
2025.07.02 00:32	181.051	181.063	181.049	181.06	8
2025.07.02 00:33	181.06	181.081	181.055	181.081	19
2025.07.02 00:34	181.076	181.088	181.065	181.072	21
2025.07.02 00:35	181.087	181.101	181.076	181.076	22
2025.07.02 00:36	181.076	181.078	181.067	181.068	11
2025.07.02 00:37	181.067	181.07	181.055	181.055	9
2025.07.02 00:38	181.069	181.083	181.065	181.083	6
2025.07.02 00:39	181.083	181.083	181.08	181.08	3
2025.07.02 00:40	181.081	181.083	181.072	181.073	9
2025.07.02 00:41	181.07	181.07	181.067	181.067	2
2025.07.02 00:42	181.079	181.079	181.079	181.079	1
2025.07.02 00:43	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:44	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:45	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:46	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:47	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:48	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:49	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:50	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:51	180.977	180.992	180.973	180.98	7
2025.07.02 00:52	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:53	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:54	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:55	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.02 00:56	180.977	181.004	180.972	181.004	28
2025.07.02 00:57	181.005	181.014	181.0	181.002	9
2025.07.02 00:58	181.002	181.007	180.989	180.989	15
2025.07.02 00:59	180.989	181.015	180.974	180.988	22
2025.07.02 01:00	181.019	181.157	181.001	181.085	76
2025.07.02 01:01	181.092	181.202	181.091	181.201	21
2025.07.02 01:02	181.201	181.252	181.176	181.248	43
2025.07.02 01:03	181.248	181.25	181.234	181.243	29
2025.07.02 01:04	181.243	181.263	181.243	181.26	15
2025.07.02 01:05	181.26	181.277	181.26	181.27	5
2025.07.02 01:06	181.271	181.271	181.254	181.256	5
2025.07.02 01:07	181.256	181.258	181.254	181.258	7
2025.07.02 01:08	181.258	181.263	181.241	181.241	9
2025.07.02 01:09	181.241	181.245	181.241	181.245	7
2025.07.02 01:10	181.245	181.245	181.238	181.238	3
2025.07.02 01:11	181.238	181.247	181.238	181.246	12
2025.07.02 01:12	181.246	181.246	181.228	181.229	11
2025.07.02 01:13	181.229	181.232	181.229	181.232	8
2025.07.02 01:14	181.232	181.233	181.232	181.233	2
2025.07.02 01:15	181.23	181.245	181.224	181.225	21
2025.07.02 01:16	181.225	181.225	181.209	181.215	21
2025.07.02 01:17	181.216	181.216	181.205	181.214	15
2025.07.02 01:18	181.213	181.221	181.207	181.221	15
2025.07.02 01:19	181.221	181.221	181.208	181.214	23
2025.07.02 01:20	181.214	181.223	181.214	181.218	10
2025.07.02 01:21	181.218	181.221	181.211	181.211	12
2025.07.02 01:22	181.211	181.214	181.206	181.214	19
2025.07.02 01:23	181.214	181.217	181.212	181.216	4
2025.07.02 01:24	181.216	181.222	181.216	181.218	13
2025.07.02 01:25	181.218	181.219	181.211	181.214	14
2025.07.02 01:26	181.214	181.227	181.214	181.221	13
2025.07.02 01:27	181.221	181.222	181.215	181.218	5
2025.07.02 01:28	181.218	181.22	181.211	181.214	13
2025.07.02 01:29	181.219	181.219	181.213	181.214	9
2025.07.02 01:30	181.214	181.224	181.212	181.224	15
2025.07.02 01:31	181.224	181.253	181.224	181.242	34
2025.07.02 01:32	181.242	181.252	181.242	181.251	14
2025.07.02 01:33	181.251	181.261	181.251	181.255	21
2025.07.02 01:34	181.258	181.263	181.25	181.25	24
2025.07.02 01:35	181.251	181.256	181.251	181.256	8
2025.07.02 01:36	181.256	181.27	181.254	181.26	13
2025.07.02 01:37	181.26	181.26	181.251	181.259	43
2025.07.02 01:38	181.259	181.275	181.259	181.275	28
2025.07.02 01:39	181.275	181.275	181.258	181.264	28
2025.07.02 01:40	181.264	181.269	181.263	181.269	8
2025.07.02 01:41	181.269	181.269	181.253	181.257	21
2025.07.02 01:42	181.259	181.261	181.255	181.259	16
2025.07.02 01:43	181.259	181.27	181.251	181.258	23
2025.07.02 01:44	181.258	181.259	181.235	181.24	36
2025.07.02 01:45	181.24	181.244	181.228	181.232	19
2025.07.02 01:46	181.232	181.247	181.232	181.24	16
2025.07.02 01:47	181.24	181.241	181.229	181.237	19
2025.07.02 01:48	181.237	181.239	181.228	181.228	9
2025.07.02 01:49	181.228	181.236	181.213	181.213	13
2025.07.02 01:50	181.214	181.222	181.21	181.214	16
2025.07.02 01:51	181.214	181.214	181.203	181.203	9
2025.07.02 01:52	181.203	181.203	181.199	181.2	7
2025.07.02 01:53	181.2	181.209	181.184	181.186	23
2025.07.02 01:54	181.186	181.189	181.177	181.185	23
2025.07.02 01:55	181.185	181.204	181.178	181.199	25
2025.07.02 01:56	181.2	181.208	181.2	181.208	7
2025.07.02 01:57	181.208	181.213	181.198	181.209	25
2025.07.02 01:58	181.209	181.216	181.208	181.213	9
2025.07.02 01:59	181.213	181.213	181.199	181.206	18
2025.07.02 02:00	181.196	181.222	181.196	181.217	29
2025.07.02 02:01	181.212	181.215	181.189	181.2	32
2025.07.02 02:02	181.2	181.21	181.2	181.207	22
2025.07.02 02:03	181.207	181.248	181.202	181.239	34
2025.07.02 02:04	181.237	181.26	181.237	181.259	41
2025.07.02 02:05	181.259	181.276	181.252	181.266	34
2025.07.02 02:06	181.266	181.289	181.266	181.283	11
2025.07.02 02:07	181.283	181.293	181.259	181.272	27
2025.07.02 02:08	181.272	181.279	181.268	181.27	22
2025.07.02 02:09	181.273	181.274	181.228	181.237	45
2025.07.02 02:10	181.237	181.266	181.237	181.262	30
2025.07.02 02:11	181.262	181.262	181.258	181.26	9
2025.07.02 02:12	181.262	181.262	181.252	181.258	24
2025.07.02 02:13	181.258	181.266	181.252	181.266	14
2025.07.02 02:14	181.266	181.273	181.261	181.263	20
2025.07.02 02:15	181.263	181.263	181.23	181.248	29
2025.07.02 02:16	181.254	181.287	181.25	181.281	45
2025.07.02 02:17	181.281	181.281	181.264	181.276	22
2025.07.02 02:18	181.275	181.276	181.269	181.27	28
2025.07.02 02:19	181.269	181.289	181.269	181.287	15
2025.07.02 02:20	181.285	181.293	181.284	181.289	21
2025.07.02 02:21	181.289	181.295	181.282	181.282	15
2025.07.02 02:22	181.282	181.295	181.272	181.274	29
2025.07.02 02:23	181.272	181.272	181.264	181.267	21
2025.07.02 02:24	181.27	181.276	181.267	181.271	18
2025.07.02 02:25	181.271	181.274	181.265	181.269	22
2025.07.02 02:26	181.277	181.285	181.27	181.282	21
2025.07.02 02:27	181.279	181.286	181.276	181.279	21
2025.07.02 02:28	181.275	181.281	181.263	181.269	26
2025.07.02 02:29	181.269	181.28	181.269	181.27	29
2025.07.02 02:30	181.27	181.27	181.244	181.249	48
2025.07.02 02:31	181.249	181.253	181.24	181.243	38
2025.07.02 02:32	181.243	181.27	181.243	181.27	42
2025.07.02 02:33	181.271	181.28	181.266	181.273	49
2025.07.02 02:34	181.273	181.276	181.27	181.275	20
2025.07.02 02:35	181.275	181.278	181.263	181.267	27
2025.07.02 02:36	181.267	181.269	181.253	181.257	40
2025.07.02 02:37	181.257	181.273	181.255	181.264	23
2025.07.02 02:38	181.264	181.271	181.251	181.255	38
2025.07.02 02:39	181.255	181.263	181.247	181.25	30
2025.07.02 02:40	181.253	181.263	181.246	181.263	19
2025.07.02 02:41	181.263	181.27	181.258	181.268	16
2025.07.02 02:42	181.268	181.273	181.255	181.262	32
2025.07.02 02:43	181.259	181.267	181.243	181.25	40
2025.07.02 02:44	181.25	181.267	181.244	181.267	70
2025.07.02 02:45	181.264	181.309	181.264	181.299	72
2025.07.02 02:46	181.299	181.305	181.287	181.301	54
2025.07.02 02:47	181.303	181.303	181.26	181.286	63
2025.07.02 02:48	181.286	181.306	181.282	181.299	42
2025.07.02 02:49	181.299	181.319	181.295	181.311	31
2025.07.02 02:50	181.306	181.344	181.306	181.33	66
2025.07.02 02:51	181.329	181.331	181.312	181.313	42
2025.07.02 02:52	181.324	181.325	181.313	181.32	47
2025.07.02 02:53	181.319	181.334	181.306	181.329	45
2025.07.02 02:54	181.331	181.336	181.328	181.332	22
2025.07.02 02:55	181.33	181.333	181.317	181.326	36
2025.07.02 02:56	181.326	181.347	181.321	181.344	26
2025.07.02 02:57	181.343	181.344	181.314	181.321	25
2025.07.02 02:58	181.321	181.327	181.315	181.319	36
2025.07.02 02:59	181.317	181.317	181.269	181.273	56
2025.07.02 03:00	181.262	181.346	181.23	181.344	169
2025.07.02 03:01	181.356	181.458	181.354	181.406	131
2025.07.02 03:02	181.405	181.438	181.397	181.437	79
2025.07.02 03:03	181.437	181.498	181.437	181.497	90
2025.07.02 03:04	181.499	181.499	181.454	181.456	138
2025.07.02 03:05	181.458	181.486	181.452	181.483	92
2025.07.02 03:06	181.483	181.483	181.444	181.454	112
2025.07.02 03:07	181.45	181.463	181.436	181.447	82
2025.07.02 03:08	181.447	181.483	181.445	181.451	107
2025.07.02 03:09	181.451	181.463	181.437	181.457	110
2025.07.02 03:10	181.453	181.479	181.443	181.459	96
2025.07.02 03:11	181.457	181.463	181.444	181.449	76
2025.07.02 03:12	181.449	181.454	181.409	181.423	72
2025.07.02 03:13	181.423	181.454	181.423	181.439	55
2025.07.02 03:14	181.439	181.457	181.433	181.433	96
2025.07.02 03:15	181.438	181.48	181.433	181.445	74
2025.07.02 03:16	181.445	181.476	181.442	181.472	43
2025.07.02 03:17	181.469	181.47	181.446	181.459	67
2025.07.02 03:18	181.457	181.482	181.454	181.471	83
2025.07.02 03:19	181.46	181.469	181.447	181.451	89
2025.07.02 03:20	181.453	181.463	181.436	181.437	87
2025.07.02 03:21	181.439	181.444	181.406	181.41	73
2025.07.02 03:22	181.41	181.418	181.403	181.414	72
2025.07.02 03:23	181.413	181.42	181.406	181.411	38
2025.07.02 03:24	181.411	181.436	181.411	181.435	69
2025.07.02 03:25	181.435	181.46	181.434	181.446	56
2025.07.02 03:26	181.445	181.486	181.441	181.485	49
2025.07.02 03:27	181.484	181.513	181.474	181.509	38
2025.07.02 03:28	181.51	181.553	181.508	181.533	48
2025.07.02 03:29	181.534	181.558	181.534	181.558	70
2025.07.02 03:30	181.569	181.575	181.536	181.554	87
2025.07.02 03:31	181.554	181.571	181.546	181.569	60
2025.07.02 03:32	181.569	181.573	181.551	181.557	37
2025.07.02 03:33	181.557	181.558	181.532	181.534	83
2025.07.02 03:34	181.534	181.537	181.512	181.516	44
2025.07.02 03:35	181.516	181.516	181.503	181.503	46
2025.07.02 03:36	181.506	181.54	181.505	181.529	56
2025.07.02 03:37	181.529	181.538	181.516	181.537	29
2025.07.02 03:38	181.533	181.565	181.527	181.544	64
2025.07.02 03:39	181.543	181.575	181.542	181.569	47
2025.07.02 03:40	181.569	181.582	181.556	181.558	55
2025.07.02 03:41	181.558	181.578	181.553	181.576	28
2025.07.02 03:42	181.578	181.589	181.573	181.58	44
2025.07.02 03:43	181.58	181.604	181.559	181.596	59
2025.07.02 03:44	181.596	181.61	181.586	181.594	65
2025.07.02 03:45	181.593	181.6	181.579	181.597	48
2025.07.02 03:46	181.597	181.61	181.596	181.599	44
2025.07.02 03:47	181.599	181.613	181.588	181.606	72
2025.07.02 03:48	181.606	181.611	181.602	181.609	44
2025.07.02 03:49	181.609	181.631	181.609	181.629	39
2025.07.02 03:50	181.629	181.63	181.583	181.59	64
2025.07.02 03:51	181.59	181.613	181.584	181.602	64
2025.07.02 03:52	181.6	181.606	181.561	181.606	89
2025.07.02 03:53	181.606	181.606	181.559	181.593	96
2025.07.02 03:54	181.593	181.593	181.514	181.548	171
2025.07.02 03:55	181.547	181.551	181.454	181.476	156
2025.07.02 03:56	181.483	181.483	181.439	181.443	113
2025.07.02 03:57	181.445	181.464	181.412	181.453	110
2025.07.02 03:58	181.453	181.457	181.404	181.454	115
2025.07.02 03:59	181.453	181.483	181.437	181.47	94
2025.07.02 04:00	181.467	181.481	181.437	181.479	97
2025.07.02 04:01	181.481	181.491	181.457	181.47	97
2025.07.02 04:02	181.467	181.493	181.455	181.489	82
2025.07.02 04:03	181.489	181.499	181.482	181.497	65
2025.07.02 04:04	181.497	181.546	181.495	181.534	79
2025.07.02 04:05	181.534	181.562	181.533	181.553	72
2025.07.02 04:06	181.553	181.569	181.539	181.55	74
2025.07.02 04:07	181.553	181.576	181.542	181.545	64
2025.07.02 04:08	181.548	181.548	181.512	181.512	66
2025.07.02 04:09	181.512	181.549	181.512	181.544	64
2025.07.02 04:10	181.542	181.555	181.529	181.55	47
2025.07.02 04:11	181.564	181.568	181.548	181.548	45
2025.07.02 04:12	181.548	181.551	181.522	181.531	49
2025.07.02 04:13	181.535	181.563	181.532	181.559	47
2025.07.02 04:14	181.552	181.561	181.548	181.551	56
2025.07.02 04:15	181.55	181.555	181.53	181.542	72
2025.07.02 04:16	181.542	181.575	181.541	181.565	59
2025.07.02 04:17	181.565	181.582	181.535	181.544	65
2025.07.02 04:18	181.545	181.546	181.521	181.525	62
2025.07.02 04:19	181.521	181.523	181.488	181.495	86
2025.07.02 04:20	181.496	181.519	181.493	181.514	48
2025.07.02 04:21	181.516	181.526	181.513	181.514	67
2025.07.02 04:22	181.516	181.516	181.505	181.51	43
2025.07.02 04:23	181.51	181.558	181.51	181.527	48
2025.07.02 04:24	181.536	181.555	181.528	181.552	60
2025.07.02 04:25	181.554	181.566	181.538	181.538	72
2025.07.02 04:26	181.537	181.543	181.507	181.508	60
2025.07.02 04:27	181.51	181.511	181.484	181.491	51
2025.07.02 04:28	181.491	181.494	181.484	181.487	37
2025.07.02 04:29	181.486	181.49	181.478	181.48	61
2025.07.02 04:30	181.478	181.505	181.459	181.459	79
2025.07.02 04:31	181.456	181.462	181.432	181.433	42
2025.07.02 04:32	181.432	181.467	181.431	181.467	93
2025.07.02 04:33	181.467	181.503	181.448	181.491	85
2025.07.02 04:34	181.49	181.492	181.468	181.471	47
2025.07.02 04:35	181.472	181.48	181.448	181.455	64
2025.07.02 04:36	181.455	181.468	181.433	181.463	79
2025.07.02 04:37	181.462	181.464	181.432	181.433	73
2025.07.02 04:38	181.433	181.434	181.409	181.42	69
2025.07.02 04:39	181.422	181.469	181.415	181.459	75
2025.07.02 04:40	181.457	181.466	181.45	181.466	61
2025.07.02 04:41	181.464	181.474	181.435	181.442	57
2025.07.02 04:42	181.44	181.475	181.44	181.461	55
2025.07.02 04:43	181.466	181.468	181.444	181.452	57
2025.07.02 04:44	181.452	181.452	181.44	181.446	33
2025.07.02 04:45	181.449	181.455	181.446	181.446	35
2025.07.02 04:46	181.444	181.465	181.444	181.457	61
2025.07.02 04:47	181.46	181.46	181.444	181.453	78
2025.07.02 04:48	181.451	181.49	181.45	181.467	66
2025.07.02 04:49	181.467	181.474	181.449	181.449	48
2025.07.02 04:50	181.451	181.458	181.428	181.442	105
2025.07.02 04:51	181.438	181.456	181.43	181.454	75
2025.07.02 04:52	181.451	181.466	181.431	181.453	82
2025.07.02 04:53	181.456	181.469	181.447	181.465	91
2025.07.02 04:54	181.465	181.484	181.462	181.479	95
2025.07.02 04:55	181.478	181.478	181.455	181.455	55
2025.07.02 04:56	181.455	181.465	181.441	181.458	90
2025.07.02 04:57	181.458	181.478	181.453	181.466	73
2025.07.02 04:58	181.466	181.502	181.463	181.499	80
2025.07.02 04:59	181.501	181.505	181.468	181.479	63
2025.07.02 05:00	181.479	181.492	181.461	181.488	69
2025.07.02 05:01	181.489	181.524	181.486	181.51	76
2025.07.02 05:02	181.508	181.53	181.5	181.527	63
2025.07.02 05:03	181.527	181.54	181.515	181.533	82
2025.07.02 05:04	181.532	181.537	181.502	181.515	96
2025.07.02 05:05	181.523	181.546	181.52	181.545	60
2025.07.02 05:06	181.545	181.552	181.52	181.536	68
