Time	Open	High	Low	Close	Volume
2025.08.21 00:00	182.913	182.913	182.913	182.913	1
2025.08.21 00:01	183.043	183.043	183.043	183.043	1
2025.08.21 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.21 00:03	183.082	183.082	183.082	183.082	1
2025.08.21 00:04	183.082	183.082	183.082	183.082	1
2025.08.21 00:05	183.079	183.079	183.079	183.079	1
2025.08.21 00:06	183.06	183.079	183.011	183.013	7
2025.08.21 00:07	183.013	183.026	183.013	183.024	8
2025.08.21 00:08	183.025	183.027	183.019	183.027	8
2025.08.21 00:09	183.027	183.034	183.018	183.026	25
2025.08.21 00:10	183.028	183.031	183.024	183.025	13
2025.08.21 00:11	183.025	183.027	183.023	183.023	9
2025.08.21 00:12	183.023	183.029	183.023	183.025	8
2025.08.21 00:13	183.025	183.027	183.025	183.025	5
2025.08.21 00:14	183.025	183.025	183.021	183.021	3
2025.08.21 00:15	183.023	183.023	183.021	183.021	2
2025.08.21 00:16	183.021	183.042	183.021	183.042	2
2025.08.21 00:17	183.042	183.043	183.042	183.043	2
2025.08.21 00:18	183.043	183.043	183.041	183.042	4
2025.08.21 00:19	183.042	183.042	183.041	183.042	5
2025.08.21 00:20	183.042	183.056	183.037	183.056	11
2025.08.21 00:21	183.056	183.06	183.049	183.054	15
2025.08.21 00:22	183.054	183.06	183.04	183.051	15
2025.08.21 00:23	183.051	183.075	183.031	183.04	18
2025.08.21 00:24	183.039	183.073	183.032	183.073	33
2025.08.21 00:25	183.073	183.075	183.053	183.066	16
2025.08.21 00:26	183.066	183.071	183.06	183.066	14
2025.08.21 00:27	183.065	183.074	183.056	183.073	21
2025.08.21 00:28	183.073	183.08	183.064	183.071	26
2025.08.21 00:29	183.071	183.084	183.064	183.079	20
2025.08.21 00:30	183.065	183.077	183.045	183.054	19
2025.08.21 00:31	183.054	183.068	183.009	183.009	35
2025.08.21 00:32	183.026	183.042	183.011	183.041	26
2025.08.21 00:33	183.032	183.054	183.028	183.043	39
2025.08.21 00:34	183.043	183.043	183.039	183.04	7
2025.08.21 00:35	183.04	183.041	183.032	183.04	9
2025.08.21 00:36	183.04	183.042	183.005	183.013	14
2025.08.21 00:37	183.02	183.038	183.006	183.022	35
2025.08.21 00:38	183.022	183.04	183.022	183.04	10
2025.08.21 00:39	183.04	183.04	183.04	183.04	1
2025.08.21 00:40	183.04	183.041	183.04	183.041	8
2025.08.21 00:41	183.033	183.038	183.01	183.01	7
2025.08.21 00:42	183.01	183.01	182.989	182.989	7
2025.08.21 00:43	182.989	182.989	182.984	182.985	14
2025.08.21 00:44	182.985	182.985	182.981	182.982	7
2025.08.21 00:45	182.982	182.984	182.96	182.962	14
2025.08.21 00:46	182.97	183.009	182.968	183.009	10
2025.08.21 00:47	183.009	183.009	182.931	183.008	30
2025.08.21 00:48	183.007	183.017	182.951	182.959	29
2025.08.21 00:49	182.957	182.963	182.957	182.961	11
2025.08.21 00:50	182.961	183.015	182.946	183.014	32
2025.08.21 00:51	183.014	183.015	182.962	182.967	57
2025.08.21 00:52	182.966	182.971	182.966	182.966	8
2025.08.21 00:53	182.965	183.01	182.957	183.002	25
2025.08.21 00:54	183.002	183.003	182.987	182.996	16
2025.08.21 00:55	182.996	182.997	182.987	182.987	15
2025.08.21 00:56	182.989	182.99	182.981	182.985	21
2025.08.21 00:57	182.984	182.987	182.953	182.954	15
2025.08.21 00:58	182.954	182.954	182.95	182.951	10
2025.08.21 00:59	182.951	183.003	182.95	182.983	20
2025.08.21 01:00	183.007	183.081	182.983	183.075	50
2025.08.21 01:01	183.07	183.096	182.977	182.997	49
2025.08.21 01:02	182.997	183.079	182.993	183.05	47
2025.08.21 01:03	183.05	183.105	183.05	183.105	8
2025.08.21 01:04	183.105	183.122	183.096	183.122	22
2025.08.21 01:05	183.122	183.122	183.095	183.114	43
2025.08.21 01:06	183.112	183.153	183.075	183.097	45
2025.08.21 01:07	183.099	183.122	183.093	183.097	23
2025.08.21 01:08	183.102	183.123	183.091	183.116	54
2025.08.21 01:09	183.116	183.125	183.085	183.12	44
2025.08.21 01:10	183.125	183.149	183.123	183.139	41
2025.08.21 01:11	183.139	183.141	183.106	183.117	58
2025.08.21 01:12	183.117	183.136	183.108	183.133	38
2025.08.21 01:13	183.133	183.15	183.127	183.132	46
2025.08.21 01:14	183.132	183.139	183.132	183.139	20
2025.08.21 01:15	183.129	183.177	183.125	183.171	101
2025.08.21 01:16	183.171	183.18	183.158	183.177	64
2025.08.21 01:17	183.179	183.181	183.166	183.179	109
2025.08.21 01:18	183.179	183.193	183.179	183.183	73
2025.08.21 01:19	183.184	183.194	183.168	183.194	69
2025.08.21 01:20	183.196	183.201	183.187	183.195	41
2025.08.21 01:21	183.194	183.222	183.189	183.218	42
2025.08.21 01:22	183.217	183.243	183.21	183.243	80
2025.08.21 01:23	183.241	183.269	183.222	183.257	78
2025.08.21 01:24	183.257	183.261	183.223	183.248	60
2025.08.21 01:25	183.248	183.254	183.239	183.245	84
2025.08.21 01:26	183.246	183.253	183.23	183.253	69
2025.08.21 01:27	183.253	183.264	183.243	183.259	84
2025.08.21 01:28	183.259	183.264	183.23	183.235	53
2025.08.21 01:29	183.235	183.238	183.219	183.229	47
2025.08.21 01:30	183.24	183.245	183.228	183.231	32
2025.08.21 01:31	183.234	183.243	183.229	183.237	31
2025.08.21 01:32	183.237	183.239	183.224	183.228	30
2025.08.21 01:33	183.229	183.235	183.226	183.23	29
2025.08.21 01:34	183.23	183.235	183.217	183.221	50
2025.08.21 01:35	183.219	183.229	183.207	183.224	39
2025.08.21 01:36	183.224	183.23	183.213	183.215	42
2025.08.21 01:37	183.213	183.235	183.213	183.228	55
2025.08.21 01:38	183.228	183.238	183.218	183.232	63
2025.08.21 01:39	183.23	183.237	183.227	183.23	28
2025.08.21 01:40	183.23	183.23	183.207	183.22	39
2025.08.21 01:41	183.219	183.229	183.216	183.229	37
2025.08.21 01:42	183.229	183.23	183.207	183.213	22
2025.08.21 01:43	183.215	183.23	183.215	183.227	51
2025.08.21 01:44	183.229	183.231	183.214	183.22	35
2025.08.21 01:45	183.218	183.239	183.217	183.239	37
2025.08.21 01:46	183.236	183.245	183.228	183.234	60
