Time	Open	High	Low	Close	Volume
2025.09.12 00:00	0.133999	0.133999	0.133999	0.133999	1
2025.09.12 00:01	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.12 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.12 00:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.12 00:04	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.12 00:05	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.12 00:06	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.12 00:07	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.12 00:08	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.12 00:09	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.12 00:10	0.134005	0.134008	0.134005	0.134008	6
2025.09.12 00:11	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:12	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:13	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:14	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:15	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:16	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:17	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:18	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:19	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:20	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:21	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:22	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:23	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:24	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:25	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:26	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:27	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:28	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:29	0.134008	0.134008	0.134008	0.134008	1
2025.09.12 00:30	0.134009	0.134011	0.134009	0.13401	3
2025.09.12 00:31	0.134008	0.134008	0.133997	0.133997	2
2025.09.12 00:32	0.134007	0.134007	0.134006	0.134006	2
2025.09.12 00:33	0.133995	0.134006	0.133995	0.134006	3
2025.09.12 00:34	0.133994	0.133994	0.133994	0.133994	1
2025.09.12 00:35	0.133994	0.134004	0.133994	0.134004	2
2025.09.12 00:36	0.133994	0.133994	0.133994	0.133994	2
2025.09.12 00:37	0.133994	0.134004	0.133994	0.134004	2
2025.09.12 00:38	0.133994	0.133994	0.133993	0.133994	3
2025.09.12 00:39	0.133994	0.134004	0.133993	0.134004	3
2025.09.12 00:40	0.133993	0.133993	0.133993	0.133993	1
2025.09.12 00:41	0.133994	0.134006	0.133994	0.134005	7
2025.09.12 00:42	0.134005	0.134005	0.134005	0.134005	1
