Time	Open	High	Low	Close	Volume
2025.08.15 00:00	9.12253	9.12253	9.12173	9.12173	9
2025.08.15 00:01	9.1208	9.1208	9.1208	9.1208	1
2025.08.15 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:03	9.12081	9.12151	9.12081	9.12151	2
2025.08.15 00:04	9.12151	9.12151	9.12151	9.12151	1
2025.08.15 00:05	9.12151	9.12151	9.12151	9.12151	1
2025.08.15 00:06	9.12032	9.12039	9.12027	9.12039	3
2025.08.15 00:07	9.12039	9.12075	9.11844	9.12075	10
2025.08.15 00:08	9.12208	9.12265	9.12162	9.12162	5
2025.08.15 00:09	9.12192	9.12192	9.12124	9.12153	5
2025.08.15 00:10	9.12182	9.12196	9.12087	9.12196	5
2025.08.15 00:11	9.12126	9.12187	9.12126	9.12187	2
2025.08.15 00:12	9.12053	9.12167	9.12051	9.12167	3
2025.08.15 00:13	9.12052	9.12167	9.12052	9.12167	2
2025.08.15 00:14	9.12052	9.12167	9.12052	9.12167	2
2025.08.15 00:15	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:16	9.12052	9.12177	9.12052	9.12177	4
2025.08.15 00:17	9.12052	9.12177	9.12052	9.12177	2
2025.08.15 00:18	9.12051	9.12177	9.12051	9.12177	3
2025.08.15 00:19	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:20	9.12181	9.12194	9.12181	9.12194	2
2025.08.15 00:21	9.12188	9.12188	9.12188	9.12188	1
2025.08.15 00:22	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:23	9.12065	9.122	9.12065	9.122	2
2025.08.15 00:24	9.12053	9.12196	9.12053	9.12148	3
2025.08.15 00:25	9.12152	9.12152	9.1214	9.1214	3
2025.08.15 00:26	9.12131	9.122	9.12131	9.12168	8
2025.08.15 00:27	9.1219	9.12238	9.12168	9.12229	9
2025.08.15 00:28	9.12238	9.12238	9.1223	9.12238	3
2025.08.15 00:29	9.1223	9.12242	9.1223	9.12238	3
2025.08.15 00:30	9.12238	9.12244	9.12076	9.12172	11
2025.08.15 00:31	9.12172	9.12232	9.12128	9.12183	10
2025.08.15 00:32	9.12151	9.12151	9.12147	9.1215	3
2025.08.15 00:33	9.12147	9.12189	9.12147	9.12189	4
2025.08.15 00:34	9.12149	9.12266	9.12149	9.12244	12
2025.08.15 00:35	9.12285	9.12285	9.12144	9.12144	6
2025.08.15 00:36	9.12128	9.12128	9.12128	9.12128	1
2025.08.15 00:37	9.12146	9.12146	9.12123	9.12131	3
2025.08.15 00:38	9.12101	9.12188	9.12101	9.12144	4
2025.08.15 00:39	9.12124	9.12179	9.12104	9.12145	13
2025.08.15 00:40	9.12145	9.12145	9.12121	9.12125	3
2025.08.15 00:41	9.12125	9.12198	9.12125	9.12161	9
2025.08.15 00:42	9.12198	9.12198	9.12135	9.12135	8
2025.08.15 00:43	9.12109	9.12198	9.12109	9.12146	15
2025.08.15 00:44	9.12146	9.12198	9.12146	9.12179	3
2025.08.15 00:45	9.12188	9.12188	9.12186	9.12186	2
2025.08.15 00:46	9.12183	9.12197	9.12183	9.12197	2
2025.08.15 00:47	9.12178	9.1229	9.12177	9.1229	18
2025.08.15 00:48	9.1229	9.1229	9.1229	9.1229	1
2025.08.15 00:49	9.1229	9.1229	9.1229	9.1229	1
2025.08.15 00:50	9.1229	9.1229	9.1229	9.1229	1
2025.08.15 00:51	9.12261	9.12291	9.12261	9.12282	9
2025.08.15 00:52	9.1228	9.12305	9.12262	9.12305	10
2025.08.15 00:53	9.12305	9.12308	9.12287	9.1229	7
2025.08.15 00:54	9.1229	9.12316	9.1229	9.12304	8
2025.08.15 00:55	9.12327	9.12361	9.1229	9.12322	10
2025.08.15 00:56	9.12313	9.12313	9.12272	9.12272	8
2025.08.15 00:57	9.12274	9.12317	9.12265	9.12313	7
2025.08.15 00:58	9.12312	9.12343	9.12312	9.12328	17
2025.08.15 00:59	9.12329	9.12356	9.1229	9.1229	6
2025.08.15 01:00	9.12292	9.12312	9.12264	9.1231	16
2025.08.15 01:01	9.12312	9.12446	9.12307	9.12355	17
2025.08.15 01:02	9.12382	9.12453	9.12363	9.12389	10
2025.08.15 01:03	9.12454	9.12458	9.12438	9.12438	5
2025.08.15 01:04	9.12425	9.12446	9.12393	9.12445	8
2025.08.15 01:05	9.12515	9.1259	9.12515	9.12582	6
2025.08.15 01:06	9.12561	9.12561	9.12522	9.12561	7
2025.08.15 01:07	9.12567	9.12612	9.12536	9.12567	11
2025.08.15 01:08	9.12538	9.12566	9.12538	9.12566	2
2025.08.15 01:09	9.12576	9.12576	9.12576	9.12576	1
2025.08.15 01:10	9.12667	9.12719	9.12633	9.12657	11
2025.08.15 01:11	9.12608	9.12701	9.12593	9.12622	11
2025.08.15 01:12	9.12636	9.12636	9.12581	9.12581	5
2025.08.15 01:13	9.12594	9.12624	9.12582	9.12611	9
2025.08.15 01:14	9.126	9.12616	9.126	9.12616	3
2025.08.15 01:15	9.12611	9.12611	9.12472	9.12507	9
2025.08.15 01:16	9.1252	9.12549	9.1252	9.12549	3
2025.08.15 01:17	9.12549	9.12562	9.12477	9.12562	4
2025.08.15 01:18	9.12565	9.12565	9.1248	9.12565	3
2025.08.15 01:19	9.12568	9.12568	9.12482	9.12566	4
2025.08.15 01:20	9.12571	9.12571	9.12477	9.12477	5
2025.08.15 01:21	9.12482	9.12569	9.12482	9.12569	2
2025.08.15 01:22	9.12551	9.12551	9.12446	9.12519	5
2025.08.15 01:23	9.12523	9.12531	9.12523	9.12525	3
2025.08.15 01:24	9.12467	9.12556	9.12467	9.12556	3
2025.08.15 01:25	9.12558	9.12566	9.12552	9.12566	3
2025.08.15 01:26	9.1255	9.12567	9.12535	9.12551	5
2025.08.15 01:27	9.12509	9.12556	9.12505	9.12523	8
2025.08.15 01:28	9.12477	9.12506	9.12462	9.12506	3
2025.08.15 01:29	9.12461	9.12506	9.12389	9.12389	5
2025.08.15 01:30	9.12355	9.12503	9.12355	9.12503	4
2025.08.15 01:31	9.12487	9.12487	9.12469	9.12469	2
2025.08.15 01:32	9.12446	9.12506	9.12446	9.12506	6
2025.08.15 01:33	9.12506	9.12528	9.12506	9.12528	2
2025.08.15 01:34	9.12532	9.12564	9.12532	9.12564	3
2025.08.15 01:35	9.12523	9.1255	9.12507	9.12533	6
2025.08.15 01:36	9.12502	9.12502	9.12485	9.12487	6
2025.08.15 01:37	9.12486	9.12491	9.12486	9.12491	2
2025.08.15 01:38	9.12503	9.12546	9.12503	9.1253	3
2025.08.15 01:39	9.12546	9.12561	9.12546	9.12561	2
2025.08.15 01:40	9.12531	9.12546	9.12512	9.12546	3
2025.08.15 01:41	9.12529	9.12545	9.12529	9.12545	2
2025.08.15 01:42	9.12487	9.12551	9.12487	9.12551	2
2025.08.15 01:43	9.12496	9.1252	9.12455	9.12487	6
2025.08.15 01:44	9.12451	9.12451	9.12355	9.12357	8
2025.08.15 01:45	9.1237	9.12405	9.12355	9.124	6
2025.08.15 01:46	9.12461	9.12555	9.12448	9.12555	12
2025.08.15 01:47	9.12524	9.12588	9.12524	9.12577	10
2025.08.15 01:48	9.12582	9.12623	9.12571	9.12623	15
2025.08.15 01:49	9.12613	9.12661	9.1259	9.12602	19
2025.08.15 01:50	9.1248	9.12628	9.1248	9.12533	12
2025.08.15 01:51	9.12519	9.12524	9.12473	9.12473	7
2025.08.15 01:52	9.12366	9.12508	9.12366	9.12508	7
2025.08.15 01:53	9.12517	9.12517	9.12517	9.12517	1
2025.08.15 01:54	9.12529	9.12552	9.12529	9.12552	3
2025.08.15 01:55	9.12458	9.12573	9.12458	9.12573	3
2025.08.15 01:56	9.12457	9.1258	9.12452	9.1258	4
2025.08.15 01:57	9.1257	9.12599	9.1257	9.12599	2
2025.08.15 01:58	9.12608	9.12614	9.12503	9.12614	4
2025.08.15 01:59	9.12601	9.12605	9.1252	9.12605	5
2025.08.15 02:00	9.12608	9.12645	9.12513	9.1252	9
2025.08.15 02:01	9.12495	9.12558	9.12481	9.12555	18
2025.08.15 02:02	9.12555	9.126	9.12505	9.12505	23
2025.08.15 02:03	9.12516	9.12532	9.12498	9.12532	7
2025.08.15 02:04	9.12541	9.12541	9.12487	9.12492	10
2025.08.15 02:05	9.1249	9.12533	9.1249	9.12533	7
2025.08.15 02:06	9.12526	9.12543	9.1249	9.12543	14
2025.08.15 02:07	9.12547	9.12583	9.12541	9.12583	9
2025.08.15 02:08	9.12588	9.12598	9.12566	9.12575	14
2025.08.15 02:09	9.1258	9.12608	9.12564	9.12584	9
2025.08.15 02:10	9.12584	9.12584	9.12439	9.12439	21
2025.08.15 02:11	9.12429	9.12429	9.12384	9.12393	17
2025.08.15 02:12	9.12388	9.12394	9.12302	9.1231	15
2025.08.15 02:13	9.12319	9.12338	9.12313	9.12336	12
2025.08.15 02:14	9.12341	9.12346	9.12335	9.12342	8
2025.08.15 02:15	9.12342	9.12371	9.12224	9.12364	14
2025.08.15 02:16	9.12367	9.12416	9.12347	9.12409	9
2025.08.15 02:17	9.12404	9.12409	9.12395	9.12403	8
2025.08.15 02:18	9.12395	9.12419	9.12388	9.12405	8
2025.08.15 02:19	9.12398	9.12406	9.12391	9.12406	7
2025.08.15 02:20	9.12411	9.1245	9.12411	9.12444	8
2025.08.15 02:21	9.12492	9.1254	9.12492	9.1254	6
2025.08.15 02:22	9.12546	9.12546	9.12517	9.12526	9
2025.08.15 02:23	9.12531	9.12532	9.1252	9.12528	5
2025.08.15 02:24	9.12526	9.12526	9.12501	9.12509	7
2025.08.15 02:25	9.12426	9.12509	9.12426	9.12461	7
2025.08.15 02:26	9.12438	9.12454	9.12429	9.12454	5
2025.08.15 02:27	9.1245	9.12481	9.12443	9.12474	14
2025.08.15 02:28	9.12468	9.12518	9.12462	9.12488	15
2025.08.15 02:29	9.12458	9.12474	9.12451	9.12453	7
2025.08.15 02:30	9.12464	9.12464	9.1243	9.1244	7
2025.08.15 02:31	9.12448	9.12603	9.12448	9.12603	12
2025.08.15 02:32	9.12588	9.12588	9.1252	9.12553	8
2025.08.15 02:33	9.12538	9.12578	9.12538	9.12578	4
2025.08.15 02:34	9.12578	9.12578	9.125	9.12511	5
2025.08.15 02:35	9.12539	9.12544	9.12539	9.12544	2
2025.08.15 02:36	9.12556	9.12571	9.12546	9.12571	4
2025.08.15 02:37	9.12552	9.12678	9.12552	9.12678	8
2025.08.15 02:38	9.12678	9.12678	9.12609	9.12643	10
2025.08.15 02:39	9.12657	9.12667	9.12657	9.12667	3
2025.08.15 02:40	9.12676	9.12691	9.12662	9.12673	8
2025.08.15 02:41	9.12657	9.12671	9.12657	9.12664	4
2025.08.15 02:42	9.12651	9.12667	9.12651	9.12667	5
2025.08.15 02:43	9.12676	9.12759	9.12674	9.12732	14
2025.08.15 02:44	9.12742	9.12753	9.12739	9.12741	6
2025.08.15 02:45	9.12729	9.12762	9.12729	9.12752	5
2025.08.15 02:46	9.12741	9.12797	9.12736	9.12768	20
2025.08.15 02:47	9.12805	9.12805	9.1275	9.12784	12
2025.08.15 02:48	9.12794	9.12818	9.12794	9.12814	9
2025.08.15 02:49	9.12824	9.1283	9.12799	9.12821	8
2025.08.15 02:50	9.12834	9.12904	9.1279	9.12808	26
2025.08.15 02:51	9.12808	9.12832	9.12774	9.12789	15
2025.08.15 02:52	9.12786	9.1281	9.12786	9.12809	8
2025.08.15 02:53	9.12786	9.12786	9.12687	9.12687	16
2025.08.15 02:54	9.12679	9.12701	9.12643	9.12664	17
2025.08.15 02:55	9.12683	9.127	9.12683	9.12692	14
2025.08.15 02:56	9.12695	9.12705	9.12682	9.12701	10
2025.08.15 02:57	9.12698	9.12772	9.12686	9.12756	22
2025.08.15 02:58	9.12686	9.1275	9.12682	9.12703	28
2025.08.15 02:59	9.12693	9.12732	9.12685	9.12727	15
2025.08.15 03:00	9.12725	9.12733	9.1255	9.12612	45
2025.08.15 03:01	9.12613	9.1264	9.12497	9.12497	54
2025.08.15 03:02	9.12503	9.12618	9.12487	9.12573	58
2025.08.15 03:03	9.12583	9.12605	9.12497	9.12522	48
2025.08.15 03:04	9.12527	9.12541	9.12471	9.12509	40
2025.08.15 03:05	9.12515	9.12569	9.1251	9.12561	23
2025.08.15 03:06	9.12577	9.12641	9.12551	9.12635	19
2025.08.15 03:07	9.126	9.127	9.12584	9.12668	25
2025.08.15 03:08	9.12674	9.12674	9.12589	9.12614	21
2025.08.15 03:09	9.12615	9.127	9.12592	9.12682	37
2025.08.15 03:10	9.12687	9.12757	9.1268	9.1272	19
2025.08.15 03:11	9.12734	9.12791	9.12734	9.12791	33
2025.08.15 03:12	9.12794	9.12893	9.12794	9.12887	39
2025.08.15 03:13	9.12893	9.12953	9.12876	9.12885	38
2025.08.15 03:14	9.12889	9.13176	9.12889	9.13175	56
2025.08.15 03:15	9.13164	9.13207	9.13125	9.13204	54
2025.08.15 03:16	9.13203	9.13282	9.13198	9.13216	52
2025.08.15 03:17	9.13203	9.13208	9.13173	9.13188	40
2025.08.15 03:18	9.13196	9.1324	9.13173	9.13193	28
2025.08.15 03:19	9.13185	9.1324	9.13169	9.1324	26
2025.08.15 03:20	9.13281	9.13307	9.13209	9.1325	24
2025.08.15 03:21	9.1326	9.13295	9.13254	9.13271	18
2025.08.15 03:22	9.13216	9.13216	9.1307	9.13071	32
2025.08.15 03:23	9.13071	9.1311	9.12925	9.13019	64
2025.08.15 03:24	9.13024	9.13079	9.12785	9.12837	50
2025.08.15 03:25	9.12832	9.1287	9.12769	9.12789	39
2025.08.15 03:26	9.12773	9.12842	9.12758	9.12806	38
2025.08.15 03:27	9.12791	9.12809	9.127510000000001	9.12804	21
2025.08.15 03:28	9.12779	9.12841	9.12779	9.1282	47
2025.08.15 03:29	9.1282	9.12864	9.12797	9.12812	28
2025.08.15 03:30	9.12804	9.12874	9.12791	9.12874	36
2025.08.15 03:31	9.12881	9.12934	9.12849	9.12928	33
2025.08.15 03:32	9.12927	9.12947	9.12889	9.12895	20
2025.08.15 03:33	9.12902	9.12904	9.12882	9.129	19
2025.08.15 03:34	9.129	9.12909	9.12861	9.12909	25
2025.08.15 03:35	9.12905	9.1292	9.128730000000001	9.12915	19
2025.08.15 03:36	9.12905	9.12943	9.12905	9.12938	26
2025.08.15 03:37	9.12937	9.12965	9.12887	9.12957	25
2025.08.15 03:38	9.12952	9.1298	9.12935	9.1294	26
2025.08.15 03:39	9.12907	9.12927	9.12894	9.12912	27
2025.08.15 03:40	9.12909	9.1294	9.12909	9.12935	18
2025.08.15 03:41	9.12872	9.12978	9.12872	9.12971	26
2025.08.15 03:42	9.12965	9.13068	9.12901	9.13068	35
2025.08.15 03:43	9.13035	9.13101	9.13035	9.1308	29
2025.08.15 03:44	9.1306	9.13205	9.13032	9.13192	62
2025.08.15 03:45	9.13186	9.13195	9.13127	9.13173	33
2025.08.15 03:46	9.13174	9.13209	9.13034	9.13046	75
2025.08.15 03:47	9.13046	9.1324	9.13039	9.13179	74
2025.08.15 03:48	9.13174	9.13204	9.13149	9.13162	27
2025.08.15 03:49	9.13156	9.13198	9.13141	9.13181	24
2025.08.15 03:50	9.13179	9.13195	9.13136	9.13159	35
2025.08.15 03:51	9.13169	9.13186	9.13146	9.13186	21
2025.08.15 03:52	9.13195	9.13227	9.13128	9.13128	56
2025.08.15 03:53	9.13129	9.1324	9.13129	9.1324	15
2025.08.15 03:54	9.13255	9.13255	9.12938	9.13023	86
2025.08.15 03:55	9.13018	9.13332	9.12988	9.13319	74
2025.08.15 03:56	9.13323	9.13323	9.13101	9.13114	36
2025.08.15 03:57	9.1312	9.1319	9.13111	9.13159	37
2025.08.15 03:58	9.13167	9.13254	9.13135	9.1325	30
2025.08.15 03:59	9.13249	9.13262	9.13233	9.13262	24
2025.08.15 04:00	9.13291	9.13291	9.13088	9.13139	29
2025.08.15 04:01	9.13146	9.13317	9.13146	9.13298	31
2025.08.15 04:02	9.133	9.13335	9.13261	9.13281	20
2025.08.15 04:03	9.13292	9.13401	9.13292	9.13401	12
2025.08.15 04:04	9.13391	9.13488	9.1336	9.13369	34
2025.08.15 04:05	9.13358	9.13404	9.13347	9.13358	21
2025.08.15 04:06	9.13354	9.13354	9.13173	9.13173	25
2025.08.15 04:07	9.13181	9.13181	9.13106	9.13109	10
2025.08.15 04:08	9.13102	9.13102	9.13063	9.13063	20
2025.08.15 04:09	9.13071	9.13081	9.13057	9.13067	9
2025.08.15 04:10	9.13075	9.13157	9.13066	9.1312	24
2025.08.15 04:11	9.13101	9.13101	9.1306	9.13098	14
2025.08.15 04:12	9.13083	9.13138	9.13069	9.13138	21
2025.08.15 04:13	9.13147	9.13164	9.13092	9.13164	19
2025.08.15 04:14	9.13148	9.13228	9.13135	9.13205	33
2025.08.15 04:15	9.13206	9.13373	9.13206	9.13307	63
2025.08.15 04:16	9.1329	9.13522	9.13249	9.13471	59
2025.08.15 04:17	9.13448	9.13448	9.13383	9.13389	25
2025.08.15 04:18	9.13386	9.13397	9.13179	9.13337	46
2025.08.15 04:19	9.13327	9.13425	9.13309	9.13381	37
2025.08.15 04:20	9.13388	9.13388	9.13245	9.13278	25
2025.08.15 04:21	9.13276	9.13327	9.13255	9.13298	40
2025.08.15 04:22	9.13296	9.13421	9.13292	9.13393	43
2025.08.15 04:23	9.13356	9.13407	9.13311	9.13355	44
2025.08.15 04:24	9.13364	9.13509	9.13363	9.13509	32
2025.08.15 04:25	9.13517	9.13535	9.13481	9.13535	26
2025.08.15 04:26	9.13521	9.13561	9.13517	9.13554	12
2025.08.15 04:27	9.13586	9.13691	9.13571	9.13691	29
2025.08.15 04:28	9.13665	9.13806	9.13662	9.13804	41
2025.08.15 04:29	9.13801	9.13912	9.138	9.13869	38
2025.08.15 04:30	9.13872	9.13903	9.13695	9.13758	37
2025.08.15 04:31	9.13769	9.13769	9.13638	9.13655	40
2025.08.15 04:32	9.13672	9.13881	9.13672	9.13777	32
2025.08.15 04:33	9.13777	9.13881	9.13723	9.13879	48
2025.08.15 04:34	9.13883	9.13922	9.13853	9.13922	35
2025.08.15 04:35	9.13923	9.13923	9.13831	9.13831	19
2025.08.15 04:36	9.13822	9.13907	9.13817	9.13845	31
2025.08.15 04:37	9.13839	9.13909	9.13839	9.13898	43
2025.08.15 04:38	9.13897	9.13944	9.13891	9.13937	16
2025.08.15 04:39	9.13917	9.13941	9.13894	9.13922	16
2025.08.15 04:40	9.13905	9.13943	9.13881	9.13919	23
2025.08.15 04:41	9.13917	9.14022	9.13898	9.14012	25
2025.08.15 04:42	9.14005	9.14019	9.13956	9.14015	58
2025.08.15 04:43	9.14022	9.14117	9.14022	9.14034	35
2025.08.15 04:44	9.14049	9.1405	9.13985	9.14045	33
2025.08.15 04:45	9.14016	9.1408	9.13983	9.13995	34
2025.08.15 04:46	9.13987	9.14058	9.13984	9.14053	28
2025.08.15 04:47	9.14058	9.14144	9.14047	9.14123	45
2025.08.15 04:48	9.14127	9.14127	9.14079	9.14111	41
2025.08.15 04:49	9.14104	9.14108	9.14035	9.14105	38
2025.08.15 04:50	9.14091	9.14151	9.14086	9.14151	19
2025.08.15 04:51	9.14145	9.14206	9.14136	9.14163	31
2025.08.15 04:52	9.14168	9.14184	9.14074	9.1408	16
2025.08.15 04:53	9.14088	9.14113	9.14072	9.14072	27
2025.08.15 04:54	9.14078	9.14095	9.14047	9.14047	20
2025.08.15 04:55	9.14012	9.14111	9.14004	9.14041	49
2025.08.15 04:56	9.14041	9.14041	9.13872	9.13872	32
2025.08.15 04:57	9.13875	9.13875	9.13804	9.13826	22
2025.08.15 04:58	9.13822	9.13917	9.13806	9.138490000000001	31
2025.08.15 04:59	9.13842	9.13901	9.13792	9.13825	28
2025.08.15 05:00	9.13824	9.13924	9.13736	9.13924	33
2025.08.15 05:01	9.13917	9.13924	9.13872	9.13896	22
2025.08.15 05:02	9.13903	9.13938	9.13886	9.13924	23
2025.08.15 05:03	9.13929	9.14076	9.13929	9.14044	22
2025.08.15 05:04	9.14052	9.14055	9.13969	9.14023	14
2025.08.15 05:05	9.14015	9.14051	9.13965	9.14037	21
2025.08.15 05:06	9.14031	9.14121	9.14015	9.14114	28
2025.08.15 05:07	9.14121	9.14135	9.14091	9.14135	10
2025.08.15 05:08	9.14136	9.14184	9.14136	9.14173	33
2025.08.15 05:09	9.14168	9.14171	9.14091	9.14097	35
2025.08.15 05:10	9.14096	9.14096	9.13991	9.14087	36
2025.08.15 05:11	9.14088	9.14088	9.14005	9.14075	39
2025.08.15 05:12	9.14081	9.14164	9.14076	9.14164	49
2025.08.15 05:13	9.14164	9.14164	9.1409	9.14095	28
2025.08.15 05:14	9.14091	9.14107	9.1405	9.1405	34
2025.08.15 05:15	9.14059	9.14068	9.14003	9.14034	31
2025.08.15 05:16	9.14032	9.14048	9.14007	9.14012	28
2025.08.15 05:17	9.14022	9.14031	9.13991	9.14018	23
2025.08.15 05:18	9.14027	9.14027	9.1395	9.13974	32
2025.08.15 05:19	9.13981	9.14073	9.13981	9.1404	23
2025.08.15 05:20	9.14047	9.14047	9.13929	9.13929	15
2025.08.15 05:21	9.13923	9.13923	9.13775	9.13819	42
2025.08.15 05:22	9.13825	9.13876	9.13797	9.1381	24
2025.08.15 05:23	9.13795	9.13823	9.13769	9.13804	23
2025.08.15 05:24	9.1381	9.13885	9.13801	9.13885	22
2025.08.15 05:25	9.13862	9.13912	9.13759	9.13759	20
2025.08.15 05:26	9.13763	9.13785	9.13699	9.13755	60
2025.08.15 05:27	9.1375	9.13855	9.1375	9.13852	32
2025.08.15 05:28	9.13836	9.13836	9.13821	9.13831	8
2025.08.15 05:29	9.13833	9.13863	9.13811	9.13846	27
2025.08.15 05:30	9.13857	9.13899	9.13796	9.13899	16
2025.08.15 05:31	9.13902	9.1401	9.13902	9.1401	33
2025.08.15 05:32	9.13998	9.14096	9.13998	9.14093	18
2025.08.15 05:33	9.1407	9.14077	9.14046	9.14072	21
2025.08.15 05:34	9.14059	9.14076	9.13987	9.13987	14
2025.08.15 05:35	9.1398	9.14001	9.13906	9.13906	44
2025.08.15 05:36	9.13896	9.13905	9.13838	9.13869	36
2025.08.15 05:37	9.13863	9.13888	9.13807	9.13875	42
2025.08.15 05:38	9.13869	9.13911	9.13867	9.1388	25
2025.08.15 05:39	9.13876	9.13981	9.13873	9.1396	56
2025.08.15 05:40	9.13972	9.14043	9.13972	9.14017	40
2025.08.15 05:41	9.14012	9.14083	9.13972	9.14044	43
2025.08.15 05:42	9.14053	9.14053	9.13879	9.13881	33
2025.08.15 05:43	9.13881	9.13885	9.13781	9.138	46
2025.08.15 05:44	9.13803	9.13857	9.13759	9.13802	52
2025.08.15 05:45	9.13798	9.13818	9.13685	9.13685	38
2025.08.15 05:46	9.13664	9.13669	9.13563	9.13648	26
2025.08.15 05:47	9.13704	9.13774	9.13702	9.13768	43
2025.08.15 05:48	9.13768	9.13786	9.13765	9.13783	7
2025.08.15 05:49	9.13785	9.1382	9.13761	9.13771	10
2025.08.15 05:50	9.13753	9.13753	9.13678	9.13745	18
2025.08.15 05:51	9.13756	9.1384	9.13756	9.1384	38
2025.08.15 05:52	9.13831	9.13881	9.13792	9.13829	48
2025.08.15 05:53	9.13837	9.13838	9.13749	9.13759	26
2025.08.15 05:54	9.13756	9.13863	9.13756	9.13852	39
2025.08.15 05:55	9.13852	9.14082	9.13836	9.14082	53
2025.08.15 05:56	9.14073	9.14079	9.13966	9.14007	73
2025.08.15 05:57	9.14002	9.1412	9.13981	9.14034	29
2025.08.15 05:58	9.14035	9.14062	9.14017	9.1404	23
2025.08.15 05:59	9.1404	9.14136	9.13993	9.1402	60
2025.08.15 06:00	9.14053	9.14111	9.14051	9.14053	36
2025.08.15 06:01	9.14057	9.14162	9.14039	9.14156	25
2025.08.15 06:02	9.14159	9.14175	9.14128	9.14175	18
2025.08.15 06:03	9.14167	9.14196	9.14091	9.14096	27
2025.08.15 06:04	9.1409	9.14098	9.14061	9.14067	19
2025.08.15 06:05	9.14062	9.14133	9.13999	9.14072	39
2025.08.15 06:06	9.14055	9.14116	9.14049	9.14116	15
2025.08.15 06:07	9.14113	9.14113	9.14078	9.14082	13
2025.08.15 06:08	9.14075	9.14088	9.14033	9.14059	23
2025.08.15 06:09	9.14059	9.14108	9.14014	9.14023	31
