Time	Open	High	Low	Close	Volume
2025.09.04 00:00	9.0953	9.09546	9.09518	9.09521	19
2025.09.04 00:01	9.08948	9.08948	9.08931	9.08931	4
2025.09.04 00:02	9.08933	9.08933	9.08844	9.08844	4
2025.09.04 00:03	9.08878	9.08908	9.08878	9.08908	2
2025.09.04 00:04	9.08868	9.08868	9.08868	9.08868	1
2025.09.04 00:05	9.09043	9.09066	9.09037	9.09056	10
2025.09.04 00:06	9.09056	9.09056	9.09056	9.09056	1
2025.09.04 00:07	9.09156	9.09197	9.09156	9.09159	11
2025.09.04 00:08	9.09188	9.09195	9.08983	9.09149	14
2025.09.04 00:09	9.09197	9.09197	9.09077	9.09176	9
2025.09.04 00:10	9.09142	9.09142	9.09142	9.09142	1
2025.09.04 00:11	9.09145	9.09169	9.09108	9.09161	6
2025.09.04 00:12	9.0913	9.0924	9.09095	9.09204	20
2025.09.04 00:13	9.09216	9.09216	9.09183	9.09183	2
2025.09.04 00:14	9.09183	9.09204	9.0917	9.09193	6
2025.09.04 00:15	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.04 00:16	9.09219	9.09219	9.09188	9.09219	8
2025.09.04 00:17	9.09205	9.09205	9.09193	9.09193	2
2025.09.04 00:18	9.09193	9.09209	9.09193	9.09209	2
2025.09.04 00:19	9.09194	9.09216	9.09194	9.09212	8
2025.09.04 00:20	9.09207	9.09261	9.09192	9.09197	10
2025.09.04 00:21	9.09215	9.09218	9.09155	9.09209	27
2025.09.04 00:22	9.09176	9.09215	9.09118	9.09155	12
2025.09.04 00:23	9.09153	9.09153	9.09153	9.09153	1
2025.09.04 00:24	9.09185	9.09185	9.09153	9.09153	2
2025.09.04 00:25	9.0917	9.09186	9.09153	9.09186	3
2025.09.04 00:26	9.092	9.092	9.09177	9.09183	3
2025.09.04 00:27	9.09148	9.09225	9.09148	9.09225	12
2025.09.04 00:28	9.09172	9.09225	9.09172	9.09222	6
2025.09.04 00:29	9.0921	9.0921	9.09174	9.09174	4
2025.09.04 00:30	9.09181	9.09382	9.09181	9.09266	69
2025.09.04 00:31	9.09299	9.09357	9.09244	9.09289	179
2025.09.04 00:32	9.09316	9.09323	9.09245	9.09254	98
2025.09.04 00:33	9.09282	9.09327	9.09216	9.093	156
2025.09.04 00:34	9.09343	9.09355	9.09237	9.09276	131
2025.09.04 00:35	9.09323	9.09325	9.09242	9.09286	204
2025.09.04 00:36	9.09259	9.09344	9.09244	9.09295	122
2025.09.04 00:37	9.09335	9.09335	9.09184	9.09207	28
2025.09.04 00:38	9.09187	9.09221	9.09167	9.09208	99
2025.09.04 00:39	9.09185	9.09227	9.09168	9.09191	81
2025.09.04 00:40	9.09191	9.09229	9.09191	9.09229	2
2025.09.04 00:41	9.09222	9.09222	9.09222	9.09222	1
2025.09.04 00:42	9.0923	9.0923	9.0923	9.0923	1
2025.09.04 00:43	9.0919	9.09255	9.0919	9.09255	5
2025.09.04 00:44	9.0913	9.09256	9.0913	9.09246	5
2025.09.04 00:45	9.0927	9.0927	9.09252	9.09252	2
2025.09.04 00:46	9.09205	9.09205	9.09202	9.09202	2
2025.09.04 00:47	9.09216	9.09216	9.09123	9.09208	4
2025.09.04 00:48	9.09243	9.09243	9.09243	9.09243	1
2025.09.04 00:49	9.09115	9.0925	9.09115	9.0925	3
2025.09.04 00:50	9.09115	9.0925	9.09115	9.09213	4
2025.09.04 00:51	9.09266	9.09266	9.09266	9.09266	1
2025.09.04 00:52	9.09115	9.09458	9.09077	9.09439	102
2025.09.04 00:53	9.09478	9.09509	9.09462	9.09462	10
2025.09.04 00:54	9.09483	9.09504	9.0946	9.0946	5
2025.09.04 00:55	9.09479	9.09479	9.09328	9.09328	3
2025.09.04 00:56	9.09325	9.09481	9.09325	9.09481	2
2025.09.04 00:57	9.09337	9.09469	9.09337	9.09451	4
2025.09.04 00:58	9.09474	9.09475	9.09354	9.09354	11
2025.09.04 00:59	9.09366	9.09366	9.0924	9.09274	12
2025.09.04 01:00	9.09279	9.09443	9.09205	9.09443	31
2025.09.04 01:01	9.09443	9.09557	9.094	9.09557	30
2025.09.04 01:02	9.09495	9.09561	9.09425	9.09542	73
2025.09.04 01:03	9.09545	9.0961	9.09448	9.09594	30
2025.09.04 01:04	9.09591	9.09603	9.09551	9.09568	22
2025.09.04 01:05	9.09483	9.09519	9.09443	9.09468	36
2025.09.04 01:06	9.09468	9.09551	9.09421	9.09505	22
2025.09.04 01:07	9.09531	9.09534	9.09499	9.09499	6
2025.09.04 01:08	9.09486	9.09541	9.09443	9.09534	13
2025.09.04 01:09	9.09485	9.09485	9.09408	9.09408	4
2025.09.04 01:10	9.09489	9.09559	9.09483	9.09483	13
2025.09.04 01:11	9.09493	9.09534	9.09484	9.09534	15
2025.09.04 01:12	9.09523	9.09532	9.09522	9.09532	4
2025.09.04 01:13	9.0953	9.0956	9.09523	9.0956	5
2025.09.04 01:14	9.0955	9.0955	9.09507	9.09521	15
2025.09.04 01:15	9.09525	9.09525	9.0951	9.0951	4
2025.09.04 01:16	9.0952	9.09546	9.09505	9.09505	5
2025.09.04 01:17	9.09513	9.09532	9.09513	9.09524	4
2025.09.04 01:18	9.09447	9.09546	9.09443	9.09443	7
2025.09.04 01:19	9.09434	9.09499	9.09434	9.09499	2
2025.09.04 01:20	9.09489	9.09545	9.09489	9.09524	6
2025.09.04 01:21	9.09531	9.09542	9.09528	9.09535	6
2025.09.04 01:22	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.04 01:23	9.09565	9.09565	9.09452	9.09452	4
2025.09.04 01:24	9.09454	9.09533	9.09452	9.09452	3
2025.09.04 01:25	9.09533	9.09533	9.09533	9.09533	1
2025.09.04 01:26	9.09528	9.0953	9.09528	9.0953	2
2025.09.04 01:27	9.0954	9.0954	9.0954	9.0954	1
2025.09.04 01:28	9.09465	9.09549	9.09465	9.09489	6
2025.09.04 01:29	9.09479	9.09479	9.09469	9.09476	3
2025.09.04 01:30	9.09423	9.09576	9.09423	9.09559	10
2025.09.04 01:31	9.09568	9.09574	9.09568	9.09574	2
2025.09.04 01:32	9.09584	9.09584	9.09552	9.09552	4
2025.09.04 01:33	9.09529	9.09529	9.09529	9.09529	1
2025.09.04 01:34	9.09513	9.09561	9.09513	9.09537	7
2025.09.04 01:35	9.0954	9.0954	9.09525	9.09537	4
2025.09.04 01:36	9.09587	9.09587	9.09579	9.09585	3
2025.09.04 01:37	9.09576	9.09576	9.09576	9.09576	1
2025.09.04 01:38	9.09616	9.09616	9.09616	9.09616	1
2025.09.04 01:39	9.09622	9.09643	9.09541	9.09541	6
2025.09.04 01:40	9.09617	9.09619	9.09607	9.09608	5
2025.09.04 01:41	9.09524	9.09639	9.09524	9.09616	10
2025.09.04 01:42	9.09528	9.09624	9.09528	9.09624	5
2025.09.04 01:43	9.09537	9.09619	9.09537	9.09619	2
2025.09.04 01:44	9.0961	9.09619	9.09526	9.09605	8
2025.09.04 01:45	9.09643	9.09671	9.09643	9.09659	7
2025.09.04 01:46	9.09653	9.0966	9.09652	9.0966	3
2025.09.04 01:47	9.0965	9.0965	9.09618	9.09626	5
2025.09.04 01:48	9.09537	9.0962	9.09537	9.09607	3
2025.09.04 01:49	9.09611	9.09617	9.09542	9.09576	10
2025.09.04 01:50	9.09583	9.09632	9.09522	9.09531	21
2025.09.04 01:51	9.09513	9.09513	9.09432	9.09441	9
2025.09.04 01:52	9.09446	9.09458	9.09409	9.09424	8
2025.09.04 01:53	9.09434	9.09447	9.09416	9.09447	7
2025.09.04 01:54	9.09439	9.09445	9.09428	9.09437	10
2025.09.04 01:55	9.0942	9.09466	9.0941	9.09466	10
2025.09.04 01:56	9.09457	9.09474	9.0944	9.09464	7
2025.09.04 01:57	9.09393	9.09482	9.09393	9.09482	4
2025.09.04 01:58	9.09469	9.09574	9.09461	9.09564	16
2025.09.04 01:59	9.09575	9.09617	9.09511	9.09607	13
