Time	Open	High	Low	Close	Volume
2025.08.15 00:00	394.952	394.952	394.952	394.952	1
2025.08.15 00:01	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:04	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:05	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:06	394.477	395.0	394.477	394.875	8
2025.08.15 00:07	395.06	395.06	395.06	395.06	1
2025.08.15 00:08	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:09	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:10	394.249	395.06	394.249	395.06	2
2025.08.15 00:11	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:12	394.285	395.06	394.285	395.06	2
2025.08.15 00:13	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:14	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:15	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:16	395.06	395.06	395.06	395.06	1
2025.08.15 00:17	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:18	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:19	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:20	395.06	395.06	395.06	395.06	1
2025.08.15 00:21	395.06	395.06	395.06	395.06	1
2025.08.15 00:22	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 00:23	395.06	395.06	395.06	395.06	1
2025.08.15 00:24	395.06	395.06	395.06	395.06	1
2025.08.15 00:25	395.0	395.0	394.71	395.0	5
2025.08.15 00:26	394.78	395.0	394.741	394.972	16
2025.08.15 00:27	395.049	395.056	394.75	395.056	6
2025.08.15 00:28	394.988	395.056	394.988	395.056	2
2025.08.15 00:29	394.988	395.056	394.988	395.056	2
2025.08.15 00:30	394.969	395.057	394.969	395.0	9
2025.08.15 00:31	395.052	395.052	394.962	394.967	7
2025.08.15 00:32	395.0	395.056	394.962	395.048	9
2025.08.15 00:33	394.967	395.049	394.967	395.049	2
2025.08.15 00:34	395.0	395.106	394.967	395.0	6
2025.08.15 00:35	394.968	395.057	394.959	395.0	15
2025.08.15 00:36	394.958	395.055	394.957	395.0	17
2025.08.15 00:37	395.0	395.055	394.962	395.0	6
2025.08.15 00:38	395.0	395.0	394.968	395.0	5
2025.08.15 00:39	394.996	395.0	394.996	395.0	2
2025.08.15 00:40	394.974	395.034	394.957	395.0	9
2025.08.15 00:41	394.974	395.0	394.974	394.997	3
2025.08.15 00:42	394.977	395.0	394.975	395.0	11
2025.08.15 00:43	394.963	395.0	394.958	395.0	6
2025.08.15 00:44	394.96	395.055	394.96	394.996	5
2025.08.15 00:45	395.0	395.058	394.975	395.0	8
2025.08.15 00:46	394.976	395.001	394.972	395.0	7
2025.08.15 00:47	395.0	395.0	394.955	395.0	5
2025.08.15 00:48	394.98	395.0	394.971	395.0	4
2025.08.15 00:49	395.0	395.059	395.0	395.0	3
2025.08.15 00:50	394.957	395.0	394.957	395.0	5
2025.08.15 00:51	394.998	395.0	394.866	395.0	6
2025.08.15 00:52	394.975	395.0	394.975	395.0	4
2025.08.15 00:53	394.98	395.063	394.977	395.0	10
2025.08.15 00:54	395.0	395.07	394.957	395.0	81
2025.08.15 00:55	395.0	395.0	394.933	394.933	2
2025.08.15 00:56	395.0	395.056	394.916	395.0	5
2025.08.15 00:57	394.98	395.0	394.94	395.0	4
2025.08.15 00:58	395.0	395.048	394.961	395.0	9
2025.08.15 00:59	395.0	395.037	394.96	395.0	7
2025.08.15 01:00	395.0	395.0	395.0	395.0	1
2025.08.15 01:01	395.0	395.0	395.0	395.0	1
2025.08.15 01:02	394.988	395.0	394.988	395.0	2
2025.08.15 01:03	394.988	395.0	394.988	395.0	2
2025.08.15 01:04	395.0	395.0	395.0	395.0	1
2025.08.15 01:05	394.988	395.0	394.988	395.0	2
2025.08.15 01:06	395.0	395.0	395.0	395.0	1
2025.08.15 01:07	395.0	395.0	394.656	395.0	4
2025.08.15 01:08	395.048	395.048	395.0	395.0	2
2025.08.15 01:09	395.048	395.048	395.0	395.0	2
2025.08.15 01:10	395.0	395.0	395.0	395.0	1
2025.08.15 01:11	395.0	395.0	395.0	395.0	1
2025.08.15 01:12	394.56	395.0	394.496	395.0	8
2025.08.15 01:13	395.048	395.048	394.562	394.79	5
2025.08.15 01:14	395.0	395.0	394.357	395.0	4
2025.08.15 01:15	395.0	395.0	394.563	395.0	3
2025.08.15 01:16	395.048	395.048	394.496	395.0	6
2025.08.15 01:17	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.15 01:18	394.998	395.0	394.998	395.0	2
2025.08.15 01:19	394.998	395.0	394.998	395.0	2
2025.08.15 01:20	394.998	395.0	394.79	395.0	3
2025.08.15 01:21	394.79	395.0	394.79	395.0	2
2025.08.15 01:22	394.998	395.0	394.62	395.0	4
2025.08.15 01:23	394.776	395.0	394.533	395.0	9
2025.08.15 01:24	394.708	395.0	394.422	395.0	5
2025.08.15 01:25	394.82	395.0	394.82	395.0	2
2025.08.15 01:26	394.998	395.0	394.998	395.0	2
2025.08.15 01:27	394.561	395.0	394.561	395.0	2
2025.08.15 01:28	394.668	395.0	394.668	395.0	2
2025.08.15 01:29	394.77	395.0	394.77	394.832	3
2025.08.15 01:30	394.765	395.0	394.549	394.766	7
2025.08.15 01:31	394.549	395.0	394.549	394.774	4
2025.08.15 01:32	394.773	395.0	394.77	395.0	6
2025.08.15 01:33	394.998	395.0	394.998	395.0	2
