Time	Open	High	Low	Close	Volume
2025.07.01 00:00	169.68	169.686	169.564	169.564	19
2025.07.01 00:01	169.564	169.663	169.564	169.663	2
2025.07.01 00:02	169.662	169.662	169.45	169.662	4
2025.07.01 00:03	169.664	169.665	169.664	169.665	2
2025.07.01 00:04	169.537	169.707	169.537	169.663	7
2025.07.01 00:05	169.563	169.687	169.563	169.661	5
2025.07.01 00:06	169.721	169.736	169.712	169.736	13
2025.07.01 00:07	169.71	169.73	169.71	169.727	22
2025.07.01 00:08	169.727	169.727	169.722	169.724	11
2025.07.01 00:09	169.724	169.727	169.681	169.695	22
2025.07.01 00:10	169.685	169.697	169.647	169.669	57
2025.07.01 00:11	169.668	169.686	169.644	169.664	50
2025.07.01 00:12	169.664	169.675	169.646	169.661	41
2025.07.01 00:13	169.661	169.663	169.604	169.604	17
2025.07.01 00:14	169.605	169.616	169.579	169.592	29
2025.07.01 00:15	169.592	169.614	169.585	169.61	34
2025.07.01 00:16	169.609	169.61	169.567	169.6	41
2025.07.01 00:17	169.6	169.607	169.55	169.6	29
2025.07.01 00:18	169.6	169.613	169.562	169.574	60
2025.07.01 00:19	169.595	169.608	169.571	169.593	43
2025.07.01 00:20	169.593	169.627	169.587	169.589	32
2025.07.01 00:21	169.589	169.594	169.569	169.592	35
2025.07.01 00:22	169.592	169.618	169.562	169.573	31
2025.07.01 00:23	169.573	169.576	169.567	169.575	23
2025.07.01 00:24	169.574	169.604	169.572	169.598	31
2025.07.01 00:25	169.598	169.618	169.589	169.6	38
2025.07.01 00:26	169.6	169.615	169.597	169.605	22
2025.07.01 00:27	169.605	169.617	169.588	169.602	70
2025.07.01 00:28	169.602	169.645	169.602	169.607	37
2025.07.01 00:29	169.608	169.608	169.597	169.598	15
2025.07.01 00:30	169.618	169.627	169.591	169.594	48
2025.07.01 00:31	169.593	169.622	169.591	169.614	27
2025.07.01 00:32	169.619	169.649	169.619	169.629	54
2025.07.01 00:33	169.629	169.646	169.557	169.636	49
2025.07.01 00:34	169.636	169.64	169.623	169.623	18
2025.07.01 00:35	169.622	169.633	169.595	169.616	65
2025.07.01 00:36	169.616	169.624	169.577	169.621	78
2025.07.01 00:37	169.621	169.633	169.603	169.63	97
2025.07.01 00:38	169.63	169.641	169.621	169.641	66
2025.07.01 00:39	169.639	169.654	169.639	169.65	59
2025.07.01 00:40	169.65	169.65	169.633	169.642	34
2025.07.01 00:41	169.643	169.655	169.63	169.647	45
2025.07.01 00:42	169.651	169.651	169.632	169.646	93
2025.07.01 00:43	169.646	169.65	169.643	169.644	56
2025.07.01 00:44	169.642	169.646	169.639	169.64	30
2025.07.01 00:45	169.641	169.646	169.636	169.636	33
2025.07.01 00:46	169.639	169.643	169.626	169.638	46
2025.07.01 00:47	169.638	169.648	169.637	169.64	42
2025.07.01 00:48	169.64	169.689	169.64	169.687	58
2025.07.01 00:49	169.691	169.701	169.683	169.701	36
2025.07.01 00:50	169.702	169.705	169.682	169.702	43
2025.07.01 00:51	169.7	169.709	169.658	169.658	29
2025.07.01 00:52	169.658	169.658	169.658	169.658	1
2025.07.01 00:53	169.658	169.658	169.614	169.62	16
2025.07.01 00:54	169.62	169.628	169.62	169.627	30
2025.07.01 00:55	169.627	169.63	169.617	169.63	45
2025.07.01 00:56	169.63	169.63	169.616	169.616	29
2025.07.01 00:57	169.616	169.616	169.596	169.612	62
2025.07.01 00:58	169.611	169.616	169.591	169.599	79
2025.07.01 00:59	169.599	169.606	169.561	169.594	102
2025.07.01 01:00	169.594	169.681	169.592	169.631	108
2025.07.01 01:01	169.632	169.643	169.612	169.62	74
2025.07.01 01:02	169.619	169.626	169.585	169.601	39
2025.07.01 01:03	169.601	169.606	169.599	169.603	20
2025.07.01 01:04	169.603	169.616	169.594	169.597	51
2025.07.01 01:05	169.599	169.603	169.588	169.588	45
2025.07.01 01:06	169.588	169.592	169.583	169.591	30
2025.07.01 01:07	169.592	169.639	169.59	169.638	62
2025.07.01 01:08	169.639	169.653	169.628	169.644	57
2025.07.01 01:09	169.645	169.66	169.632	169.641	77
2025.07.01 01:10	169.641	169.664	169.641	169.648	47
