Time	Open	High	Low	Close	Volume
2025.08.13 00:00	172.571	172.571	172.561	172.569	3
2025.08.13 00:01	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.13 00:02	172.31	172.323	172.286	172.286	7
2025.08.13 00:03	172.511	172.511	172.493	172.493	2
2025.08.13 00:04	172.479	172.493	172.479	172.493	2
2025.08.13 00:05	172.511	172.511	172.482	172.482	4
2025.08.13 00:06	172.424	172.432	172.423	172.429	6
2025.08.13 00:07	172.429	172.432	172.424	172.432	12
2025.08.13 00:08	172.432	172.468	172.407	172.459	39
2025.08.13 00:09	172.462	172.466	172.405	172.419	30
2025.08.13 00:10	172.419	172.429	172.417	172.428	18
2025.08.13 00:11	172.428	172.436	172.428	172.434	8
2025.08.13 00:12	172.434	172.445	172.431	172.445	11
2025.08.13 00:13	172.445	172.483	172.441	172.444	36
2025.08.13 00:14	172.444	172.474	172.442	172.472	28
2025.08.13 00:15	172.473	172.509	172.468	172.509	13
2025.08.13 00:16	172.509	172.511	172.506	172.511	14
2025.08.13 00:17	172.511	172.514	172.51	172.514	9
2025.08.13 00:18	172.514	172.52	172.506	172.515	127
2025.08.13 00:19	172.515	172.519	172.515	172.519	8
2025.08.13 00:20	172.519	172.52	172.518	172.52	6
2025.08.13 00:21	172.52	172.521	172.52	172.52	3
2025.08.13 00:22	172.52	172.52	172.52	172.52	1
2025.08.13 00:23	172.52	172.52	172.517	172.519	5
2025.08.13 00:24	172.519	172.52	172.508	172.52	10
2025.08.13 00:25	172.52	172.522	172.506	172.516	192
2025.08.13 00:26	172.52	172.523	172.49	172.497	63
2025.08.13 00:27	172.49	172.496	172.485	172.495	13
2025.08.13 00:28	172.492	172.502	172.491	172.501	17
2025.08.13 00:29	172.502	172.502	172.494	172.497	13
2025.08.13 00:30	172.496	172.5	172.496	172.499	9
2025.08.13 00:31	172.501	172.507	172.5	172.507	11
2025.08.13 00:32	172.507	172.511	172.5	172.502	37
2025.08.13 00:33	172.501	172.511	172.501	172.511	12
2025.08.13 00:34	172.513	172.521	172.51	172.521	10
2025.08.13 00:35	172.528	172.534	172.524	172.534	33
2025.08.13 00:36	172.534	172.54	172.532	172.536	18
2025.08.13 00:37	172.533	172.549	172.53	172.549	43
2025.08.13 00:38	172.547	172.547	172.542	172.543	30
2025.08.13 00:39	172.545	172.547	172.541	172.545	27
2025.08.13 00:40	172.544	172.546	172.543	172.544	39
2025.08.13 00:41	172.543	172.545	172.515	172.535	84
2025.08.13 00:42	172.534	172.542	172.53	172.54	59
2025.08.13 00:43	172.54	172.544	172.538	172.542	52
2025.08.13 00:44	172.541	172.545	172.527	172.533	52
2025.08.13 00:45	172.532	172.541	172.53	172.54	37
2025.08.13 00:46	172.54	172.547	172.54	172.546	18
2025.08.13 00:47	172.546	172.548	172.545	172.547	12
2025.08.13 00:48	172.547	172.55	172.547	172.549	15
2025.08.13 00:49	172.549	172.55	172.545	172.545	16
2025.08.13 00:50	172.545	172.568	172.545	172.567	53
2025.08.13 00:51	172.567	172.578	172.564	172.573	51
2025.08.13 00:52	172.573	172.577	172.547	172.563	34
2025.08.13 00:53	172.565	172.567	172.55	172.55	27
2025.08.13 00:54	172.55	172.563	172.544	172.562	16
2025.08.13 00:55	172.563	172.574	172.563	172.573	25
2025.08.13 00:56	172.573	172.574	172.57	172.572	15
2025.08.13 00:57	172.573	172.577	172.569	172.574	36
2025.08.13 00:58	172.573	172.577	172.569	172.569	28
2025.08.13 00:59	172.569	172.572	172.569	172.571	19
2025.08.13 01:00	172.572	172.59	172.57	172.582	53
2025.08.13 01:01	172.582	172.612	172.582	172.586	36
2025.08.13 01:02	172.586	172.599	172.566	172.567	47
2025.08.13 01:03	172.567	172.58	172.567	172.575	32
2025.08.13 01:04	172.575	172.577	172.567	172.568	32
2025.08.13 01:05	172.568	172.575	172.56	172.571	37
2025.08.13 01:06	172.571	172.572	172.534	172.539	41
2025.08.13 01:07	172.54	172.543	172.521	172.529	32
2025.08.13 01:08	172.528	172.538	172.525	172.529	32
2025.08.13 01:09	172.529	172.539	172.528	172.532	13
2025.08.13 01:10	172.534	172.545	172.531	172.545	15
2025.08.13 01:11	172.545	172.558	172.539	172.553	33
2025.08.13 01:12	172.554	172.555	172.551	172.555	21
2025.08.13 01:13	172.555	172.56	172.539	172.56	27
2025.08.13 01:14	172.56	172.564	172.558	172.563	30
2025.08.13 01:15	172.563	172.568	172.549	172.562	36
2025.08.13 01:16	172.563	172.574	172.562	172.566	15
2025.08.13 01:17	172.567	172.568	172.541	172.553	36
