Time	Open	High	Low	Close	Volume
2025.08.19 00:00	4.24193	4.24223	4.24193	4.24213	5
2025.08.19 00:01	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:04	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:05	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:06	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:07	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:08	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:09	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:10	4.24433	4.24453	4.24413	4.24433	6
2025.08.19 00:11	4.24433	4.24433	4.24433	4.24433	1
2025.08.19 00:12	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:13	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:14	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:15	4.24433	4.24433	4.24423	4.24433	9
2025.08.19 00:16	4.24433	4.24433	4.24413	4.24433	13
2025.08.19 00:17	4.24433	4.24443	4.24433	4.24443	4
2025.08.19 00:18	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:19	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:20	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:21	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:22	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:23	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:24	4.24443	4.24443	4.24423	4.24443	4
2025.08.19 00:25	4.24596	4.24597	4.24463	4.24463	3
2025.08.19 00:26	4.24483	4.24483	4.24463	4.24463	5
2025.08.19 00:27	4.24631	4.24633	4.24631	4.24633	3
2025.08.19 00:28	4.24633	4.24633	4.24205	4.24443	6
2025.08.19 00:29	4.2417	4.2417	4.2417	4.2417	1
2025.08.19 00:30	4.24188	4.24473	4.24188	4.24473	7
2025.08.19 00:31	4.24392	4.24499	4.24362	4.24473	12
2025.08.19 00:32	4.24633	4.24638	4.24463	4.24463	7
2025.08.19 00:33	4.24655	4.24657	4.24655	4.24657	3
2025.08.19 00:34	4.24658	4.24662	4.24658	4.24662	5
2025.08.19 00:35	4.24662	4.24665	4.24662	4.24665	4
2025.08.19 00:36	4.24665	4.24665	4.24473	4.2458	3
2025.08.19 00:37	4.24599	4.24599	4.24473	4.24599	3
2025.08.19 00:38	4.246	4.246	4.246	4.246	1
2025.08.19 00:39	4.24607	4.24607	4.24473	4.24473	2
2025.08.19 00:40	4.24483	4.24483	4.24473	4.24473	2
2025.08.19 00:41	4.24463	4.24473	4.24463	4.24473	4
2025.08.19 00:42	4.24657	4.24658	4.24473	4.24473	3
2025.08.19 00:43	4.24652	4.24653	4.24652	4.24653	2
2025.08.19 00:44	4.24654	4.24655	4.24654	4.24655	2
2025.08.19 00:45	4.24656	4.24656	4.24656	4.24656	1
2025.08.19 00:46	4.24656	4.24657	4.24656	4.24657	2
2025.08.19 00:47	4.24657	4.24658	4.24657	4.24658	2
2025.08.19 00:48	4.24658	4.24658	4.24654	4.24654	2
2025.08.19 00:49	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.19 00:50	4.24643	4.24643	4.24643	4.24643	1
2025.08.19 00:51	4.24503	4.24503	4.24473	4.24473	2
2025.08.19 00:52	4.24473	4.24643	4.24473	4.24643	2
2025.08.19 00:53	4.24642	4.24642	4.24642	4.24642	1
2025.08.19 00:54	4.24642	4.24642	4.24473	4.24473	2
2025.08.19 00:55	4.24473	4.24473	4.24453	4.24453	3
2025.08.19 00:56	4.24569	4.24569	4.24453	4.24473	4
2025.08.19 00:57	4.24603	4.24603	4.24603	4.24603	1
2025.08.19 00:58	4.24622	4.24622	4.24622	4.24622	1
2025.08.19 00:59	4.24622	4.24623	4.24463	4.24623	3
2025.08.19 01:00	4.24641	4.24719	4.24408	4.24719	31
2025.08.19 01:01	4.2472	4.24785	4.24493	4.24767	21
2025.08.19 01:02	4.24767	4.24783	4.2476	4.24763	10
2025.08.19 01:03	4.24763	4.24776	4.24763	4.24772	5
2025.08.19 01:04	4.2477	4.248	4.24483	4.248	21
2025.08.19 01:05	4.248	4.24808	4.24493	4.24723	33
2025.08.19 01:06	4.24723	4.24723	4.24659	4.24659	14
2025.08.19 01:07	4.24659	4.24669	4.24649	4.24669	16
2025.08.19 01:08	4.24669	4.24669	4.24656	4.24656	5
2025.08.19 01:09	4.24656	4.24728	4.24656	4.2472	22
2025.08.19 01:10	4.2472	4.24771	4.24631	4.24771	15
2025.08.19 01:11	4.24771	4.2478	4.24722	4.24739	13
2025.08.19 01:12	4.24739	4.24764	4.24681	4.24764	15
2025.08.19 01:13	4.24764	4.24764	4.24533	4.24713	13
2025.08.19 01:14	4.24709	4.24711	4.2461	4.2461	21
2025.08.19 01:15	4.24607	4.24607	4.24503	4.24503	26
2025.08.19 01:16	4.24503	4.24503	4.24493	4.24493	2
2025.08.19 01:17	4.24599	4.24599	4.24493	4.24493	4
2025.08.19 01:18	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:19	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:20	4.24493	4.24602	4.24493	4.24493	4
2025.08.19 01:21	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:22	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:23	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:24	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:25	4.24493	4.24503	4.24493	4.24503	2
2025.08.19 01:26	4.24602	4.24602	4.24602	4.24602	1
2025.08.19 01:27	4.24503	4.24503	4.24503	4.24503	1
2025.08.19 01:28	4.24503	4.24503	4.24503	4.24503	1
2025.08.19 01:29	4.24602	4.24602	4.24503	4.24503	2
2025.08.19 01:30	4.24493	4.24503	4.24493	4.24493	7
2025.08.19 01:31	4.24493	4.24503	4.24493	4.24503	4
2025.08.19 01:32	4.24503	4.24503	4.24493	4.24503	3
2025.08.19 01:33	4.24503	4.24602	4.24503	4.24602	2
2025.08.19 01:34	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:35	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:36	4.24493	4.24503	4.24493	4.24503	2
2025.08.19 01:37	4.24602	4.24602	4.24503	4.24503	2
2025.08.19 01:38	4.24503	4.24503	4.24503	4.24503	1
2025.08.19 01:39	4.24503	4.24503	4.24503	4.24503	1
2025.08.19 01:40	4.24503	4.24503	4.24493	4.24493	2
2025.08.19 01:41	4.24493	4.24503	4.24493	4.24503	2
2025.08.19 01:42	4.246	4.246	4.24503	4.24503	2
2025.08.19 01:43	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:44	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:45	4.24465	4.24493	4.24465	4.24493	2
2025.08.19 01:46	4.24601	4.24601	4.24493	4.24503	3
2025.08.19 01:47	4.24601	4.24601	4.24601	4.24601	1
2025.08.19 01:48	4.24576	4.24576	4.24493	4.24493	3
2025.08.19 01:49	4.24577	4.24577	4.24493	4.24493	2
2025.08.19 01:50	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:51	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:52	4.24577	4.24577	4.24493	4.24493	2
2025.08.19 01:53	4.24577	4.24577	4.24493	4.24493	2
2025.08.19 01:54	4.24573	4.24573	4.24493	4.24493	2
2025.08.19 01:55	4.24493	4.24573	4.24493	4.24573	2
2025.08.19 01:56	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:57	4.24493	4.24493	4.24493	4.24493	1
2025.08.19 01:58	4.24573	4.24573	4.24493	4.24573	3
2025.08.19 01:59	4.24574	4.24705	4.24466	4.24644	17
2025.08.19 02:00	4.24644	4.24647	4.24644	4.24647	4
2025.08.19 02:01	4.24647	4.24647	4.24635	4.24643	4
2025.08.19 02:02	4.24643	4.24645	4.24643	4.24645	3
2025.08.19 02:03	4.24713	4.24713	4.24641	4.24644	5
2025.08.19 02:04	4.24644	4.24645	4.24635	4.24645	10
2025.08.19 02:05	4.24646	4.2465	4.24646	4.24649	8
2025.08.19 02:06	4.2465	4.2465	4.24645	4.24649	5
