Time	Open	High	Low	Close	Volume
2025.08.22 00:00	1.49513	1.49513	1.49513	1.49513	1
2025.08.22 00:01	1.4935800000000001	1.49372	1.4935800000000001	1.49372	5
2025.08.22 00:02	1.49369	1.49373	1.49369	1.49373	6
2025.08.22 00:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.22 00:04	1.49374	1.49374	1.49374	1.49374	1
2025.08.22 00:05	1.49387	1.49387	1.49374	1.49387	5
2025.08.22 00:06	1.49478	1.49478	1.49477	1.49477	2
2025.08.22 00:07	1.49477	1.49477	1.49477	1.49477	1
2025.08.22 00:08	1.49477	1.49477	1.49477	1.49477	1
2025.08.22 00:09	1.49477	1.49477	1.49477	1.49477	1
2025.08.22 00:10	1.49477	1.49482	1.49471	1.49477	12
2025.08.22 00:11	1.49477	1.49477	1.49475	1.4947599999999999	5
2025.08.22 00:12	1.4947599999999999	1.49479	1.49475	1.49477	7
2025.08.22 00:13	1.49477	1.49477	1.49464	1.49464	2
2025.08.22 00:14	1.49464	1.4948299999999999	1.49464	1.4948299999999999	2
2025.08.22 00:15	1.4948299999999999	1.4948299999999999	1.4948299999999999	1.4948299999999999	1
2025.08.22 00:16	1.4948299999999999	1.49484	1.49482	1.49484	4
2025.08.22 00:17	1.49484	1.49484	1.4948299999999999	1.4948299999999999	8
2025.08.22 00:18	1.49482	1.49482	1.49482	1.49482	1
2025.08.22 00:19	1.49482	1.49506	1.49482	1.49506	2
2025.08.22 00:20	1.49506	1.49506	1.49445	1.49445	2
2025.08.22 00:21	1.49445	1.49445	1.49445	1.49445	1
2025.08.22 00:22	1.49445	1.49445	1.49445	1.49445	1
2025.08.22 00:23	1.49445	1.4945599999999999	1.49444	1.4945599999999999	11
2025.08.22 00:24	1.4945599999999999	1.4949	1.4945599999999999	1.4949	3
2025.08.22 00:25	1.4949	1.4950700000000001	1.49486	1.495	9
2025.08.22 00:26	1.49501	1.49501	1.49485	1.49485	7
2025.08.22 00:27	1.49485	1.49487	1.49485	1.49486	3
2025.08.22 00:28	1.49486	1.49489	1.49486	1.49489	5
2025.08.22 00:29	1.49489	1.49501	1.49489	1.49496	9
2025.08.22 00:30	1.49496	1.49505	1.49477	1.49489	16
2025.08.22 00:31	1.49489	1.49511	1.49485	1.4950999999999999	12
2025.08.22 00:32	1.4950999999999999	1.49521	1.49493	1.49493	18
2025.08.22 00:33	1.49493	1.49529	1.49493	1.4951400000000001	20
2025.08.22 00:34	1.49516	1.4952	1.49494	1.49505	26
2025.08.22 00:35	1.49506	1.49506	1.49493	1.49501	14
2025.08.22 00:36	1.495	1.49505	1.49492	1.49505	14
2025.08.22 00:37	1.49505	1.49508	1.49505	1.49506	14
2025.08.22 00:38	1.49506	1.49509	1.49499	1.49499	9
2025.08.22 00:39	1.49499	1.49499	1.4949	1.4949	10
2025.08.22 00:40	1.4949	1.49501	1.4949	1.49494	16
2025.08.22 00:41	1.49494	1.49503	1.49492	1.49492	37
2025.08.22 00:42	1.49492	1.49503	1.49492	1.49493	12
2025.08.22 00:43	1.49502	1.49531	1.49486	1.49488	45
2025.08.22 00:44	1.49488	1.49498	1.4947	1.49488	66
2025.08.22 00:45	1.49488	1.495	1.49479	1.49493	83
2025.08.22 00:46	1.49493	1.49498	1.49481	1.49493	98
2025.08.22 00:47	1.49491	1.49503	1.49487	1.49501	25
2025.08.22 00:48	1.49501	1.49508	1.49489	1.49489	19
2025.08.22 00:49	1.49494	1.49504	1.4948299999999999	1.49494	76
2025.08.22 00:50	1.49494	1.49501	1.49485	1.49498	63
2025.08.22 00:51	1.49498	1.49505	1.49496	1.49498	34
2025.08.22 00:52	1.49499	1.49502	1.49484	1.49484	36
2025.08.22 00:53	1.49484	1.49495	1.49478	1.49482	21
2025.08.22 00:54	1.49482	1.49499	1.49481	1.49498	23
2025.08.22 00:55	1.4949	1.49494	1.49454	1.49464	100
2025.08.22 00:56	1.49462	1.49475	1.49448	1.49472	74
2025.08.22 00:57	1.49474	1.49489	1.49454	1.49477	88
2025.08.22 00:58	1.4949	1.49491	1.49455	1.49463	106
2025.08.22 00:59	1.4945599999999999	1.49471	1.49452	1.4945599999999999	95
2025.08.22 01:00	1.49475	1.49529	1.49475	1.49519	46
2025.08.22 01:01	1.49523	1.49536	1.49515	1.49531	21
2025.08.22 01:02	1.49531	1.49543	1.49531	1.4954100000000001	12
2025.08.22 01:03	1.4954100000000001	1.49573	1.4954100000000001	1.49573	15
2025.08.22 01:04	1.49573	1.49581	1.49573	1.49581	10
