Time	Open	High	Low	Close	Volume
2025.07.30 00:00	46.82471	46.82471	46.82202	46.82203	3
2025.07.30 00:01	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.30 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.30 00:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.30 00:04	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.30 00:05	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.30 00:06	46.82629	46.82632	46.82379	46.82379	5
2025.07.30 00:07	46.82378	46.84449	46.82366	46.8371	30
2025.07.30 00:08	46.8372	46.83942	46.83719	46.83942	8
2025.07.30 00:09	46.83942	46.83943	46.83942	46.83943	2
2025.07.30 00:10	46.83943	46.84106	46.83943	46.84106	3
2025.07.30 00:11	46.84106	46.84107	46.84106	46.84107	2
2025.07.30 00:12	46.84107	46.84108	46.83625	46.84108	7
2025.07.30 00:13	46.84108	46.84108	46.84108	46.84108	1
2025.07.30 00:14	46.84108	46.84109	46.84108	46.84109	2
2025.07.30 00:15	46.84109	46.8411	46.84109	46.8411	2
2025.07.30 00:16	46.8411	46.8411	46.8411	46.8411	1
2025.07.30 00:17	46.8411	46.84111	46.83658	46.83658	6
2025.07.30 00:18	46.83658	46.83659	46.83536	46.83537	8
2025.07.30 00:19	46.835	46.835	46.83316	46.83316	7
2025.07.30 00:20	46.83316	46.83316	46.83115	46.83115	4
2025.07.30 00:21	46.83115	46.83115	46.83066	46.83106	4
2025.07.30 00:22	46.83035	46.83035	46.82985	46.82985	2
2025.07.30 00:23	46.82985	46.82985	46.82985	46.82985	1
2025.07.30 00:24	46.82985	46.83026	46.82985	46.82985	3
2025.07.30 00:25	46.83026	46.83066	46.82985	46.82985	4
2025.07.30 00:26	46.82985	46.82985	46.82985	46.82985	1
2025.07.30 00:27	46.82985	46.82985	46.82985	46.82985	1
2025.07.30 00:28	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.30 00:29	46.82985	46.82985	46.82985	46.82985	1
2025.07.30 00:30	46.82985	46.83066	46.82985	46.83066	2
2025.07.30 00:31	46.83026	46.83107	46.83026	46.83107	4
2025.07.30 00:32	46.82985	46.82985	46.82985	46.82985	1
2025.07.30 00:33	46.82985	46.83026	46.82985	46.83026	2
2025.07.30 00:34	46.83026	46.83026	46.83026	46.83026	1
2025.07.30 00:35	46.83026	46.83026	46.82985	46.82985	2
