Time	Open	High	Low	Close	Volume
2025.09.04 00:00	2.05245	2.05245	2.05242	2.05242	2
2025.09.04 00:01	2.0526	2.05262	2.0526	2.05262	2
2025.09.04 00:02	2.05059	2.05064	2.05059	2.05064	2
2025.09.04 00:03	2.05186	2.05188	2.05186	2.05188	2
2025.09.04 00:04	2.05186	2.05188	2.05186	2.05188	2
2025.09.04 00:05	2.05104	2.05227	2.05104	2.05227	8
2025.09.04 00:06	2.05291	2.05325	2.05291	2.05325	5
2025.09.04 00:07	2.05325	2.05325	2.05323	2.05323	2
2025.09.04 00:08	2.05323	2.05337	2.05323	2.05336	7
2025.09.04 00:09	2.05336	2.05339	2.05336	2.05339	4
2025.09.04 00:10	2.05339	2.05339	2.05321	2.05321	6
2025.09.04 00:11	2.05321	2.05374	2.0532	2.05374	11
2025.09.04 00:12	2.05374	2.05401	2.05374	2.05386	6
2025.09.04 00:13	2.05386	2.05386	2.05386	2.05386	1
2025.09.04 00:14	2.05386	2.05387	2.05386	2.05387	2
2025.09.04 00:15	2.05387	2.05387	2.0536	2.0536	6
2025.09.04 00:16	2.0536	2.0536	2.05295	2.05295	3
2025.09.04 00:17	2.05295	2.05295	2.05295	2.05295	1
2025.09.04 00:18	2.05295	2.05295	2.05295	2.05295	1
2025.09.04 00:19	2.05295	2.05295	2.05295	2.05295	1
2025.09.04 00:20	2.05316	2.05318	2.05306	2.05312	35
2025.09.04 00:21	2.05315	2.0532	2.05315	2.0532	8
2025.09.04 00:22	2.05315	2.05318	2.05312	2.05318	7
2025.09.04 00:23	2.0532	2.0532	2.05292	2.05301	11
2025.09.04 00:24	2.05308	2.05308	2.053	2.05304	10
2025.09.04 00:25	2.05304	2.05307	2.05265	2.05307	25
2025.09.04 00:26	2.05307	2.05324	2.05266	2.05292	77
2025.09.04 00:27	2.05289	2.05311	2.05287	2.05307	24
2025.09.04 00:28	2.0531	2.05316	2.05259	2.05265	20
2025.09.04 00:29	2.05257	2.05303	2.05253	2.05253	24
