Time	Open	High	Low	Close	Volume
2025.07.10 00:00	198.753	198.753	198.753	198.753	1
2025.07.10 00:01	198.745	198.745	198.707	198.707	2
2025.07.10 00:02	198.742	198.761	198.704	198.761	5
2025.07.10 00:03	198.742	198.742	198.705	198.705	2
2025.07.10 00:04	198.755	198.761	198.704	198.705	5
2025.07.10 00:05	198.69	198.756	198.69	198.746	5
2025.07.10 00:06	198.748	198.748	198.69	198.69	2
2025.07.10 00:07	198.69	198.69	198.689	198.69	3
2025.07.10 00:08	198.69	198.7	198.679	198.679	8
2025.07.10 00:09	198.679	198.679	198.666	198.666	2
2025.07.10 00:10	198.666	198.666	198.666	198.666	1
2025.07.10 00:11	198.666	198.666	198.666	198.666	1
2025.07.10 00:12	198.666	198.677	198.659	198.677	4
2025.07.10 00:13	198.677	198.677	198.667	198.667	2
2025.07.10 00:14	198.667	198.67	198.667	198.67	2
2025.07.10 00:15	198.67	198.686	198.67	198.68	5
2025.07.10 00:16	198.68	198.691	198.68	198.691	3
2025.07.10 00:17	198.692	198.692	198.692	198.692	1
2025.07.10 00:18	198.693	198.693	198.687	198.693	3
2025.07.10 00:19	198.693	198.693	198.687	198.689	3
2025.07.10 00:20	198.689	198.694	198.688	198.694	3
2025.07.10 00:21	198.694	198.701	198.667	198.69	10
2025.07.10 00:22	198.69	198.69	198.687	198.689	3
2025.07.10 00:23	198.688	198.688	198.688	198.688	1
2025.07.10 00:24	198.688	198.689	198.688	198.689	2
2025.07.10 00:25	198.689	198.689	198.687	198.687	2
2025.07.10 00:26	198.687	198.687	198.681	198.681	2
2025.07.10 00:27	198.681	198.692	198.681	198.692	3
2025.07.10 00:28	198.692	198.692	198.679	198.679	2
2025.07.10 00:29	198.679	198.679	198.675	198.675	2
2025.07.10 00:30	198.675	198.697	198.675	198.68	5
2025.07.10 00:31	198.68	198.685	198.68	198.685	3
2025.07.10 00:32	198.685	198.685	198.68	198.68	2
2025.07.10 00:33	198.68	198.68	198.68	198.68	1
2025.07.10 00:34	198.68	198.68	198.677	198.677	2
2025.07.10 00:35	198.677	198.692	198.677	198.692	3
2025.07.10 00:36	198.692	198.72	198.684	198.714	13
2025.07.10 00:37	198.716	198.729	198.716	198.729	4
2025.07.10 00:38	198.729	198.745	198.714	198.745	7
2025.07.10 00:39	198.745	198.745	198.741	198.741	2
2025.07.10 00:40	198.741	198.748	198.74	198.74	4
2025.07.10 00:41	198.74	198.749	198.74	198.749	3
2025.07.10 00:42	198.749	198.749	198.728	198.738	3
2025.07.10 00:43	198.738	198.738	198.702	198.705	6
2025.07.10 00:44	198.705	198.714	198.678	198.678	14
2025.07.10 00:45	198.678	198.678	198.676	198.677	3
2025.07.10 00:46	198.677	198.677	198.666	198.666	2
2025.07.10 00:47	198.666	198.669	198.664	198.669	3
2025.07.10 00:48	198.669	198.669	198.587	198.589	4
2025.07.10 00:49	198.589	198.593	198.579	198.579	8
2025.07.10 00:50	198.579	198.588	198.577	198.582	4
2025.07.10 00:51	198.582	198.582	198.582	198.582	1
2025.07.10 00:52	198.582	198.603	198.582	198.603	6
2025.07.10 00:53	198.603	198.603	198.586	198.586	2
2025.07.10 00:54	198.586	198.586	198.58	198.58	2
2025.07.10 00:55	198.58	198.617	198.58	198.61	17
2025.07.10 00:56	198.61	198.614	198.609	198.609	4
2025.07.10 00:57	198.609	198.648	198.609	198.648	7
2025.07.10 00:58	198.648	198.673	198.648	198.673	5
2025.07.10 00:59	198.673	198.695	198.663	198.695	11
2025.07.10 01:00	198.738	198.766	198.68	198.728	83
2025.07.10 01:01	198.728	198.748	198.716	198.748	28
2025.07.10 01:02	198.748	198.769	198.741	198.741	25
2025.07.10 01:03	198.72	198.737	198.715	198.731	44
2025.07.10 01:04	198.731	198.732	198.703	198.705	15
2025.07.10 01:05	198.705	198.712	198.705	198.711	14
2025.07.10 01:06	198.711	198.715	198.687	198.715	27
2025.07.10 01:07	198.715	198.729	198.71	198.719	19
2025.07.10 01:08	198.719	198.74	198.716	198.726	26
2025.07.10 01:09	198.723	198.738	198.719	198.727	18
2025.07.10 01:10	198.727	198.738	198.72	198.725	29
2025.07.10 01:11	198.725	198.735	198.717	198.735	20
2025.07.10 01:12	198.732	198.762	198.73	198.761	33
2025.07.10 01:13	198.762	198.783	198.76	198.78	39
2025.07.10 01:14	198.78	198.781	198.767	198.772	19
2025.07.10 01:15	198.771	198.784	198.771	198.778	27
2025.07.10 01:16	198.779	198.78	198.775	198.776	16
2025.07.10 01:17	198.775	198.814	198.766	198.8	76
2025.07.10 01:18	198.799	198.801	198.79	198.801	45
2025.07.10 01:19	198.801	198.801	198.787	198.788	40
2025.07.10 01:20	198.788	198.793	198.77	198.771	38
2025.07.10 01:21	198.771	198.779	198.76	198.778	44
2025.07.10 01:22	198.777	198.781	198.776	198.778	24
2025.07.10 01:23	198.778	198.781	198.775	198.78	30
2025.07.10 01:24	198.78	198.785	198.778	198.784	12
2025.07.10 01:25	198.784	198.786	198.782	198.783	17
2025.07.10 01:26	198.783	198.787	198.779	198.787	10
2025.07.10 01:27	198.787	198.798	198.782	198.791	36
2025.07.10 01:28	198.791	198.791	198.789	198.791	21
2025.07.10 01:29	198.79	198.792	198.783	198.787	35
2025.07.10 01:30	198.788	198.789	198.785	198.789	48
2025.07.10 01:31	198.788	198.791	198.786	198.788	27
2025.07.10 01:32	198.787	198.803	198.787	198.802	16
2025.07.10 01:33	198.802	198.802	198.801	198.802	19
2025.07.10 01:34	198.802	198.803	198.8	198.8	13
2025.07.10 01:35	198.8	198.806	198.796	198.802	18
2025.07.10 01:36	198.802	198.802	198.801	198.802	7
2025.07.10 01:37	198.802	198.803	198.787	198.789	37
2025.07.10 01:38	198.787	198.789	198.779	198.784	31
2025.07.10 01:39	198.783	198.787	198.779	198.783	27
2025.07.10 01:40	198.783	198.786	198.781	198.781	20
2025.07.10 01:41	198.781	198.789	198.778	198.778	13
2025.07.10 01:42	198.778	198.781	198.766	198.767	8
2025.07.10 01:43	198.767	198.767	198.745	198.746	24
2025.07.10 01:44	198.746	198.746	198.739	198.74	8
2025.07.10 01:45	198.74	198.743	198.725	198.733	31
2025.07.10 01:46	198.733	198.739	198.709	198.725	48
2025.07.10 01:47	198.724	198.725	198.716	198.723	30
2025.07.10 01:48	198.723	198.74	198.722	198.738	25
2025.07.10 01:49	198.738	198.742	198.723	198.725	15
2025.07.10 01:50	198.726	198.736	198.724	198.729	34
2025.07.10 01:51	198.729	198.73	198.718	198.718	18
2025.07.10 01:52	198.718	198.725	198.687	198.689	27
2025.07.10 01:53	198.689	198.694	198.685	198.691	26
2025.07.10 01:54	198.691	198.704	198.691	198.698	22
2025.07.10 01:55	198.698	198.708	198.698	198.706	47
2025.07.10 01:56	198.706	198.717	198.7	198.716	15
2025.07.10 01:57	198.716	198.728	198.712	198.722	19
2025.07.10 01:58	198.717	198.718	198.71	198.71	12
2025.07.10 01:59	198.711	198.726	198.71	198.719	27
2025.07.10 02:00	198.714	198.744	198.712	198.744	49
2025.07.10 02:01	198.744	198.776	198.731	198.769	42
2025.07.10 02:02	198.769	198.798	198.755	198.798	48
2025.07.10 02:03	198.798	198.798	198.771	198.775	23
2025.07.10 02:04	198.775	198.788	198.775	198.786	29
2025.07.10 02:05	198.786	198.789	198.778	198.779	43
2025.07.10 02:06	198.78	198.78	198.755	198.76	18
2025.07.10 02:07	198.76	198.76	198.745	198.75	14
2025.07.10 02:08	198.75	198.75	198.735	198.737	14
2025.07.10 02:09	198.737	198.764	198.737	198.763	20
2025.07.10 02:10	198.763	198.763	198.737	198.754	20
2025.07.10 02:11	198.754	198.754	198.729	198.729	17
2025.07.10 02:12	198.73	198.74	198.728	198.737	29
2025.07.10 02:13	198.735	198.735	198.716	198.716	26
2025.07.10 02:14	198.716	198.716	198.702	198.702	30
2025.07.10 02:15	198.702	198.705	198.693	198.695	28
2025.07.10 02:16	198.695	198.7	198.652	198.676	59
2025.07.10 02:17	198.676	198.676	198.625	198.642	28
2025.07.10 02:18	198.641	198.642	198.627	198.635	37
2025.07.10 02:19	198.631	198.644	198.622	198.627	53
2025.07.10 02:20	198.624	198.645	198.622	198.625	39
2025.07.10 02:21	198.625	198.628	198.586	198.596	50
2025.07.10 02:22	198.596	198.612	198.583	198.594	67
2025.07.10 02:23	198.584	198.612	198.583	198.603	31
2025.07.10 02:24	198.603	198.61	198.573	198.592	56
2025.07.10 02:25	198.592	198.592	198.568	198.58	51
2025.07.10 02:26	198.579	198.585	198.565	198.565	31
2025.07.10 02:27	198.565	198.568	198.539	198.545	58
2025.07.10 02:28	198.545	198.568	198.527	198.552	41
2025.07.10 02:29	198.557	198.572	198.548	198.569	55
2025.07.10 02:30	198.569	198.569	198.553	198.557	46
2025.07.10 02:31	198.558	198.562	198.553	198.561	36
2025.07.10 02:32	198.561	198.568	198.547	198.566	38
2025.07.10 02:33	198.577	198.577	198.561	198.567	37
2025.07.10 02:34	198.568	198.574	198.56	198.574	30
2025.07.10 02:35	198.574	198.574	198.559	198.563	29
2025.07.10 02:36	198.563	198.57	198.556	198.57	58
2025.07.10 02:37	198.569	198.578	198.569	198.573	19
2025.07.10 02:38	198.574	198.593	198.571	198.59	48
2025.07.10 02:39	198.591	198.605	198.587	198.597	75
2025.07.10 02:40	198.597	198.628	198.596	198.626	30
2025.07.10 02:41	198.625	198.628	198.621	198.628	24
2025.07.10 02:42	198.628	198.628	198.605	198.617	40
2025.07.10 02:43	198.619	198.655	198.617	198.655	65
2025.07.10 02:44	198.655	198.673	198.653	198.665	42
2025.07.10 02:45	198.665	198.677	198.665	198.674	35
2025.07.10 02:46	198.674	198.677	198.663	198.665	54
2025.07.10 02:47	198.665	198.676	198.654	198.675	63
