Time	Open	High	Low	Close	Volume
2025.08.08 00:00	197.794	197.794	197.792	197.792	2
2025.08.08 00:01	197.635	197.635	197.635	197.635	1
2025.08.08 00:02	197.623	197.623	197.623	197.623	1
2025.08.08 00:03	197.628	197.628	197.628	197.628	1
2025.08.08 00:04	197.628	197.628	197.628	197.628	1
2025.08.08 00:05	197.628	197.628	197.623	197.623	2
2025.08.08 00:06	197.607	197.607	197.607	197.607	1
2025.08.08 00:07	197.607	197.609	197.607	197.609	2
2025.08.08 00:08	197.609	197.616	197.609	197.613	3
2025.08.08 00:09	197.613	197.619	197.583	197.591	9
2025.08.08 00:10	197.591	197.595	197.579	197.579	23
2025.08.08 00:11	197.579	197.591	197.569	197.569	13
2025.08.08 00:12	197.569	197.571	197.537	197.571	15
2025.08.08 00:13	197.583	197.591	197.579	197.579	5
2025.08.08 00:14	197.579	197.613	197.579	197.613	2
2025.08.08 00:15	197.613	197.613	197.609	197.613	3
2025.08.08 00:16	197.613	197.617	197.573	197.597	11
2025.08.08 00:17	197.597	197.601	197.597	197.597	5
2025.08.08 00:18	197.597	197.597	197.597	197.597	1
2025.08.08 00:19	197.597	197.597	197.597	197.597	1
2025.08.08 00:20	197.597	197.597	197.583	197.589	19
2025.08.08 00:21	197.589	197.593	197.577	197.579	14
2025.08.08 00:22	197.579	197.581	197.575	197.577	11
2025.08.08 00:23	197.575	197.575	197.573	197.573	8
2025.08.08 00:24	197.573	197.581	197.573	197.576	15
2025.08.08 00:25	197.576	197.58	197.555	197.569	9
2025.08.08 00:26	197.569	197.575	197.553	197.571	15
2025.08.08 00:27	197.569	197.579	197.561	197.575	40
2025.08.08 00:28	197.575	197.583	197.561	197.581	17
2025.08.08 00:29	197.579	197.591	197.555	197.591	41
2025.08.08 00:30	197.591	197.591	197.555	197.563	18
2025.08.08 00:31	197.591	197.593	197.56	197.561	24
2025.08.08 00:32	197.561	197.569	197.561	197.569	11
2025.08.08 00:33	197.569	197.57	197.541	197.559	15
2025.08.08 00:34	197.563	197.565	197.551	197.555	21
2025.08.08 00:35	197.555	197.565	197.551	197.565	20
2025.08.08 00:36	197.565	197.566	197.565	197.566	2
2025.08.08 00:37	197.571	197.579	197.555	197.579	18
2025.08.08 00:38	197.593	197.6	197.587	197.588	7
2025.08.08 00:39	197.588	197.61	197.575	197.61	16
2025.08.08 00:40	197.61	197.61	197.586	197.595	8
2025.08.08 00:41	197.595	197.621	197.589	197.621	10
2025.08.08 00:42	197.621	197.631	197.621	197.625	7
2025.08.08 00:43	197.625	197.625	197.622	197.622	4
2025.08.08 00:44	197.622	197.64	197.621	197.633	8
2025.08.08 00:45	197.633	197.633	197.593	197.605	27
2025.08.08 00:46	197.605	197.611	197.596	197.596	9
2025.08.08 00:47	197.596	197.597	197.591	197.595	5
2025.08.08 00:48	197.595	197.598	197.593	197.597	8
2025.08.08 00:49	197.597	197.597	197.59	197.59	7
2025.08.08 00:50	197.59	197.591	197.588	197.589	8
2025.08.08 00:51	197.589	197.594	197.588	197.593	8
2025.08.08 00:52	197.593	197.597	197.59	197.59	4
2025.08.08 00:53	197.59	197.595	197.59	197.594	5
2025.08.08 00:54	197.594	197.599	197.578	197.586	12
2025.08.08 00:55	197.586	197.603	197.586	197.589	12
2025.08.08 00:56	197.589	197.602	197.589	197.6	7
2025.08.08 00:57	197.6	197.6	197.537	197.557	22
2025.08.08 00:58	197.557	197.557	197.512	197.539	12
2025.08.08 00:59	197.539	197.539	197.47	197.486	9
2025.08.08 01:00	197.486	197.645	197.465	197.599	104
2025.08.08 01:01	197.597	197.615	197.561	197.609	46
2025.08.08 01:02	197.609	197.634	197.605	197.608	47
2025.08.08 01:03	197.608	197.647	197.606	197.622	43
2025.08.08 01:04	197.622	197.661	197.582	197.661	68
2025.08.08 01:05	197.663	197.663	197.59	197.617	64
2025.08.08 01:06	197.615	197.617	197.596	197.614	42
2025.08.08 01:07	197.614	197.619	197.579	197.594	32
2025.08.08 01:08	197.594	197.608	197.591	197.596	25
2025.08.08 01:09	197.596	197.606	197.594	197.602	28
2025.08.08 01:10	197.605	197.626	197.605	197.623	73
2025.08.08 01:11	197.623	197.623	197.597	197.61	51
2025.08.08 01:12	197.61	197.614	197.607	197.612	28
2025.08.08 01:13	197.613	197.614	197.608	197.614	29
2025.08.08 01:14	197.613	197.643	197.611	197.627	25
2025.08.08 01:15	197.627	197.627	197.609	197.622	26
2025.08.08 01:16	197.622	197.623	197.592	197.592	29
2025.08.08 01:17	197.592	197.593	197.573	197.587	66
2025.08.08 01:18	197.587	197.608	197.58	197.601	36
2025.08.08 01:19	197.601	197.604	197.591	197.591	45
2025.08.08 01:20	197.592	197.594	197.582	197.59	48
2025.08.08 01:21	197.59	197.604	197.59	197.602	33
2025.08.08 01:22	197.602	197.607	197.576	197.58	52
2025.08.08 01:23	197.58	197.58	197.568	197.579	22
2025.08.08 01:24	197.579	197.596	197.579	197.596	37
2025.08.08 01:25	197.595	197.606	197.591	197.605	51
2025.08.08 01:26	197.606	197.607	197.598	197.604	44
2025.08.08 01:27	197.604	197.616	197.604	197.615	31
2025.08.08 01:28	197.615	197.658	197.615	197.654	56
2025.08.08 01:29	197.654	197.654	197.624	197.625	23
2025.08.08 01:30	197.624	197.628	197.575	197.577	59
2025.08.08 01:31	197.577	197.584	197.536	197.549	95
2025.08.08 01:32	197.549	197.552	197.523	197.534	80
2025.08.08 01:33	197.536	197.567	197.531	197.549	92
2025.08.08 01:34	197.549	197.549	197.534	197.538	70
2025.08.08 01:35	197.538	197.557	197.506	197.51	84
2025.08.08 01:36	197.51	197.517	197.472	197.472	57
2025.08.08 01:37	197.473	197.491	197.436	197.454	102
2025.08.08 01:38	197.452	197.495	197.434	197.492	123
2025.08.08 01:39	197.493	197.508	197.493	197.5	49
2025.08.08 01:40	197.5	197.502	197.476	197.483	59
2025.08.08 01:41	197.483	197.491	197.452	197.455	69
2025.08.08 01:42	197.455	197.498	197.454	197.494	77
2025.08.08 01:43	197.494	197.495	197.482	197.483	76
2025.08.08 01:44	197.484	197.497	197.479	197.494	76
2025.08.08 01:45	197.492	197.512	197.491	197.493	77
2025.08.08 01:46	197.492	197.496	197.48	197.484	79
2025.08.08 01:47	197.483	197.497	197.47	197.496	48
2025.08.08 01:48	197.496	197.531	197.487	197.524	78
2025.08.08 01:49	197.524	197.528	197.509	197.522	62
2025.08.08 01:50	197.523	197.542	197.507	197.517	50
2025.08.08 01:51	197.514	197.527	197.496	197.526	45
2025.08.08 01:52	197.526	197.527	197.517	197.524	52
2025.08.08 01:53	197.524	197.557	197.522	197.557	40
2025.08.08 01:54	197.554	197.567	197.541	197.561	71
2025.08.08 01:55	197.561	197.57	197.56	197.57	41
2025.08.08 01:56	197.57	197.581	197.545	197.581	31
2025.08.08 01:57	197.583	197.592	197.573	197.585	80
2025.08.08 01:58	197.585	197.605	197.581	197.588	59
2025.08.08 01:59	197.589	197.605	197.585	197.602	51
2025.08.08 02:00	197.602	197.618	197.58	197.585	75
2025.08.08 02:01	197.585	197.59	197.555	197.56	83
2025.08.08 02:02	197.56	197.603	197.558	197.578	58
2025.08.08 02:03	197.578	197.582	197.57	197.571	48
2025.08.08 02:04	197.572	197.575	197.57	197.573	25
2025.08.08 02:05	197.572	197.577	197.561	197.567	55
2025.08.08 02:06	197.566	197.58	197.563	197.566	34
2025.08.08 02:07	197.566	197.576	197.538	197.54	50
2025.08.08 02:08	197.538	197.541	197.498	197.5	47
2025.08.08 02:09	197.5	197.502	197.484	197.488	59
2025.08.08 02:10	197.487	197.488	197.443	197.443	68
2025.08.08 02:11	197.443	197.457	197.407	197.419	61
2025.08.08 02:12	197.415	197.457	197.413	197.45	55
2025.08.08 02:13	197.45	197.454	197.428	197.436	34
2025.08.08 02:14	197.435	197.488	197.435	197.485	69
2025.08.08 02:15	197.485	197.49	197.472	197.474	17
2025.08.08 02:16	197.48	197.481	197.438	197.44	44
2025.08.08 02:17	197.433	197.445	197.409	197.413	65
2025.08.08 02:18	197.413	197.435	197.398	197.427	77
2025.08.08 02:19	197.427	197.45	197.425	197.437	59
2025.08.08 02:20	197.435	197.435	197.392	197.402	55
2025.08.08 02:21	197.417	197.439	197.404	197.404	68
2025.08.08 02:22	197.404	197.407	197.395	197.402	27
2025.08.08 02:23	197.402	197.406	197.378	197.404	46
2025.08.08 02:24	197.404	197.415	197.39	197.392	81
2025.08.08 02:25	197.392	197.412	197.384	197.409	65
2025.08.08 02:26	197.411	197.424	197.401	197.423	62
2025.08.08 02:27	197.413	197.435	197.413	197.418	39
2025.08.08 02:28	197.41	197.447	197.408	197.437	51
2025.08.08 02:29	197.437	197.44	197.418	197.43	54
2025.08.08 02:30	197.429	197.462	197.423	197.438	57
2025.08.08 02:31	197.438	197.458	197.437	197.439	49
2025.08.08 02:32	197.439	197.462	197.438	197.448	22
2025.08.08 02:33	197.448	197.488	197.446	197.487	73
2025.08.08 02:34	197.487	197.495	197.485	197.485	37
2025.08.08 02:35	197.485	197.485	197.471	197.474	39
2025.08.08 02:36	197.474	197.495	197.471	197.495	34
2025.08.08 02:37	197.495	197.51	197.48	197.508	69
2025.08.08 02:38	197.507	197.525	197.507	197.521	48
2025.08.08 02:39	197.521	197.528	197.505	197.509	52
2025.08.08 02:40	197.509	197.518	197.509	197.514	29
2025.08.08 02:41	197.514	197.516	197.506	197.509	33
2025.08.08 02:42	197.51	197.51	197.483	197.493	53
2025.08.08 02:43	197.493	197.517	197.479	197.51	52
2025.08.08 02:44	197.51	197.521	197.502	197.503	78
2025.08.08 02:45	197.503	197.526	197.466	197.471	62
2025.08.08 02:46	197.472	197.482	197.453	197.481	67
2025.08.08 02:47	197.481	197.492	197.45	197.465	64
2025.08.08 02:48	197.46	197.466	197.437	197.46	74
2025.08.08 02:49	197.46	197.474	197.449	197.455	52
2025.08.08 02:50	197.455	197.458	197.434	197.437	68
2025.08.08 02:51	197.436	197.502	197.427	197.483	78
2025.08.08 02:52	197.482	197.496	197.443	197.45	70
2025.08.08 02:53	197.442	197.448	197.417	197.448	58
2025.08.08 02:54	197.448	197.477	197.447	197.46	66
2025.08.08 02:55	197.46	197.501	197.443	197.498	81
2025.08.08 02:56	197.497	197.539	197.492	197.504	97
2025.08.08 02:57	197.504	197.516	197.481	197.515	88
2025.08.08 02:58	197.515	197.515	197.475	197.483	93
2025.08.08 02:59	197.483	197.492	197.458	197.464	78
2025.08.08 03:00	197.456	197.469	197.367	197.395	182
2025.08.08 03:01	197.395	197.55	197.384	197.539	179
2025.08.08 03:02	197.539	197.593	197.523	197.581	138
2025.08.08 03:03	197.581	197.712	197.581	197.679	184
2025.08.08 03:04	197.678	197.681	197.637	197.672	143
2025.08.08 03:05	197.671	197.672	197.602	197.615	150
2025.08.08 03:06	197.612	197.663	197.611	197.663	105
2025.08.08 03:07	197.663	197.716	197.663	197.674	134
2025.08.08 03:08	197.675	197.723	197.663	197.714	119
2025.08.08 03:09	197.716	197.756	197.714	197.721	145
2025.08.08 03:10	197.721	197.733	197.71	197.719	115
2025.08.08 03:11	197.721	197.754	197.72	197.737	131
2025.08.08 03:12	197.737	197.737	197.676	197.704	136
2025.08.08 03:13	197.704	197.733	197.7	197.721	103
2025.08.08 03:14	197.719	197.748	197.719	197.734	108
2025.08.08 03:15	197.734	197.805	197.734	197.776	162
2025.08.08 03:16	197.776	197.794	197.748	197.765	137
2025.08.08 03:17	197.765	197.77	197.746	197.754	114
2025.08.08 03:18	197.754	197.78	197.742	197.777	133
2025.08.08 03:19	197.777	197.809	197.771	197.786	101
2025.08.08 03:20	197.781	197.782	197.751	197.754	84
2025.08.08 03:21	197.754	197.759	197.736	197.736	98
2025.08.08 03:22	197.736	197.74	197.725	197.737	99
2025.08.08 03:23	197.737	197.761	197.733	197.76	125
2025.08.08 03:24	197.756	197.774	197.742	197.76	97
2025.08.08 03:25	197.759	197.768	197.74	197.747	101
2025.08.08 03:26	197.747	197.774	197.745	197.774	85
2025.08.08 03:27	197.776	197.801	197.776	197.799	89
2025.08.08 03:28	197.799	197.799	197.781	197.786	74
2025.08.08 03:29	197.785	197.786	197.76	197.767	133
2025.08.08 03:30	197.766	197.78	197.765	197.778	95
2025.08.08 03:31	197.778	197.791	197.769	197.773	92
2025.08.08 03:32	197.773	197.787	197.757	197.787	111
2025.08.08 03:33	197.788	197.808	197.772	197.782	107
2025.08.08 03:34	197.783	197.796	197.773	197.78	115
2025.08.08 03:35	197.781	197.79	197.77	197.778	74
2025.08.08 03:36	197.778	197.784	197.763	197.769	77
2025.08.08 03:37	197.767	197.772	197.737	197.755	157
2025.08.08 03:38	197.756	197.759	197.724	197.738	113
2025.08.08 03:39	197.74	197.74	197.724	197.736	66
2025.08.08 03:40	197.736	197.736	197.717	197.73	88
2025.08.08 03:41	197.73	197.735	197.718	197.731	54
2025.08.08 03:42	197.731	197.748	197.731	197.735	79
2025.08.08 03:43	197.735	197.745	197.73	197.739	87
2025.08.08 03:44	197.744	197.75	197.733	197.744	78
2025.08.08 03:45	197.744	197.77	197.724	197.756	135
2025.08.08 03:46	197.755	197.761	197.714	197.714	117
2025.08.08 03:47	197.714	197.718	197.699	197.712	79
2025.08.08 03:48	197.712	197.732	197.708	197.724	98
2025.08.08 03:49	197.724	197.758	197.724	197.736	110
2025.08.08 03:50	197.736	197.768	197.729	197.762	103
2025.08.08 03:51	197.762	197.786	197.757	197.784	134
2025.08.08 03:52	197.786	197.851	197.777	197.839	144
2025.08.08 03:53	197.839	197.866	197.824	197.845	147
2025.08.08 03:54	197.845	197.875	197.809	197.866	194
2025.08.08 03:55	197.878	197.881	197.847	197.877	163
2025.08.08 03:56	197.873	197.899	197.856	197.881	116
2025.08.08 03:57	197.881	197.912	197.88	197.901	100
2025.08.08 03:58	197.901	197.908	197.885	197.902	109
2025.08.08 03:59	197.902	197.902	197.872	197.875	133
2025.08.08 04:00	197.875	197.898	197.87	197.896	150
2025.08.08 04:01	197.897	197.9	197.876	197.899	98
2025.08.08 04:02	197.898	197.899	197.888	197.894	94
2025.08.08 04:03	197.894	197.905	197.859	197.866	109
2025.08.08 04:04	197.866	197.889	197.865	197.867	81
2025.08.08 04:05	197.867	197.895	197.851	197.866	86
2025.08.08 04:06	197.866	197.875	197.854	197.855	98
2025.08.08 04:07	197.855	197.916	197.844	197.888	100
2025.08.08 04:08	197.888	197.945	197.888	197.926	114
2025.08.08 04:09	197.927	197.936	197.914	197.922	97
2025.08.08 04:10	197.922	197.923	197.898	197.918	83
2025.08.08 04:11	197.916	197.917	197.897	197.904	118
2025.08.08 04:12	197.904	197.913	197.898	197.905	76
2025.08.08 04:13	197.905	197.927	197.903	197.92	90
2025.08.08 04:14	197.923	197.937	197.92	197.921	66
2025.08.08 04:15	197.922	197.951	197.915	197.94	111
2025.08.08 04:16	197.939	197.957	197.926	197.938	102
2025.08.08 04:17	197.938	197.938	197.902	197.903	77
2025.08.08 04:18	197.902	197.945	197.902	197.922	116
2025.08.08 04:19	197.922	197.938	197.92	197.933	104
2025.08.08 04:20	197.933	197.972	197.933	197.938	108
2025.08.08 04:21	197.938	197.989	197.935	197.968	122
2025.08.08 04:22	197.968	197.973	197.927	197.935	111
2025.08.08 04:23	197.934	197.972	197.932	197.972	90
2025.08.08 04:24	197.972	197.973	197.951	197.956	64
2025.08.08 04:25	197.957	197.963	197.946	197.956	100
2025.08.08 04:26	197.956	197.957	197.942	197.943	94
2025.08.08 04:27	197.942	197.972	197.942	197.953	78
2025.08.08 04:28	197.953	197.957	197.923	197.925	77
2025.08.08 04:29	197.925	197.932	197.913	197.927	82
2025.08.08 04:30	197.926	197.926	197.896	197.91	114
2025.08.08 04:31	197.912	197.935	197.912	197.931	68
2025.08.08 04:32	197.931	197.949	197.918	197.945	81
2025.08.08 04:33	197.945	197.97	197.943	197.965	71
2025.08.08 04:34	197.964	197.976	197.96	197.964	67
2025.08.08 04:35	197.964	197.975	197.96	197.967	84
2025.08.08 04:36	197.967	197.99	197.963	197.967	80
2025.08.08 04:37	197.966	197.969	197.949	197.959	73
2025.08.08 04:38	197.959	197.959	197.938	197.946	59
2025.08.08 04:39	197.937	197.937	197.911	197.914	74
2025.08.08 04:40	197.914	197.94	197.914	197.938	93
2025.08.08 04:41	197.939	197.985	197.925	197.971	105
2025.08.08 04:42	197.971	197.972	197.94	197.941	67
2025.08.08 04:43	197.941	197.949	197.932	197.933	44
2025.08.08 04:44	197.926	197.956	197.926	197.941	88
2025.08.08 04:45	197.942	197.944	197.908	197.915	73
2025.08.08 04:46	197.915	197.922	197.915	197.92	55
2025.08.08 04:47	197.92	197.93	197.88	197.881	72
2025.08.08 04:48	197.882	197.903	197.879	197.881	74
2025.08.08 04:49	197.882	197.896	197.874	197.894	60
2025.08.08 04:50	197.895	197.925	197.893	197.925	67
2025.08.08 04:51	197.924	197.926	197.908	197.912	68
2025.08.08 04:52	197.912	197.92	197.894	197.9	78
2025.08.08 04:53	197.901	197.903	197.87	197.874	78
2025.08.08 04:54	197.874	197.884	197.852	197.852	81
2025.08.08 04:55	197.851	197.861	197.843	197.846	64
2025.08.08 04:56	197.844	197.864	197.842	197.854	123
2025.08.08 04:57	197.854	197.88	197.854	197.877	78
2025.08.08 04:58	197.877	197.888	197.875	197.879	76
2025.08.08 04:59	197.879	197.9	197.866	197.9	117
2025.08.08 05:00	197.9	197.907	197.875	197.888	123
2025.08.08 05:01	197.888	197.9	197.886	197.892	68
2025.08.08 05:02	197.891	197.892	197.868	197.874	113
2025.08.08 05:03	197.874	197.892	197.866	197.889	85
2025.08.08 05:04	197.889	197.895	197.886	197.891	63
2025.08.08 05:05	197.891	197.906	197.847	197.875	89
2025.08.08 05:06	197.874	197.904	197.86	197.886	91
2025.08.08 05:07	197.886	197.925	197.878	197.907	104
2025.08.08 05:08	197.907	197.937	197.906	197.935	110
2025.08.08 05:09	197.935	197.941	197.931	197.935	57
2025.08.08 05:10	197.935	197.946	197.919	197.931	73
2025.08.08 05:11	197.931	197.949	197.93	197.937	42
2025.08.08 05:12	197.937	197.937	197.922	197.927	64
2025.08.08 05:13	197.927	197.94	197.925	197.936	44
2025.08.08 05:14	197.936	197.979	197.935	197.969	90
2025.08.08 05:15	197.969	197.969	197.935	197.949	85
2025.08.08 05:16	197.948	197.949	197.933	197.946	62
