Time	Open	High	Low	Close	Volume
2025.08.25 00:00	198.722	198.754	198.654	198.691	180
2025.08.25 00:01	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.25 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.25 00:03	198.426	198.426	198.426	198.426	1
2025.08.25 00:04	198.426	198.437	198.417	198.434	4
2025.08.25 00:05	198.415	198.438	198.399	198.438	10
2025.08.25 00:06	198.438	198.457	198.424	198.455	11
2025.08.25 00:07	198.455	198.469	198.451	198.467	15
2025.08.25 00:08	198.467	198.469	198.441	198.441	15
2025.08.25 00:09	198.441	198.449	198.441	198.449	5
2025.08.25 00:10	198.448	198.472	198.448	198.472	9
2025.08.25 00:11	198.472	198.476	198.463	198.476	4
2025.08.25 00:12	198.476	198.505	198.46	198.505	11
2025.08.25 00:13	198.505	198.509	198.465	198.477	13
2025.08.25 00:14	198.478	198.557	198.459	198.525	74
2025.08.25 00:15	198.527	198.549	198.513	198.525	101
2025.08.25 00:16	198.527	198.551	198.525	198.537	91
2025.08.25 00:17	198.537	198.565	198.529	198.549	105
2025.08.25 00:18	198.549	198.572	198.545	198.551	72
2025.08.25 00:19	198.553	198.557	198.537	198.539	36
2025.08.25 00:20	198.539	198.557	198.535	198.537	25
2025.08.25 00:21	198.537	198.559	198.537	198.543	31
2025.08.25 00:22	198.543	198.575	198.541	198.575	88
2025.08.25 00:23	198.543	198.583	198.537	198.583	80
2025.08.25 00:24	198.541	198.581	198.525	198.535	72
2025.08.25 00:25	198.537	198.551	198.483	198.499	109
2025.08.25 00:26	198.485	198.497	198.475	198.483	92
2025.08.25 00:27	198.483	198.509	198.477	198.481	109
2025.08.25 00:28	198.495	198.533	198.471	198.483	115
2025.08.25 00:29	198.481	198.527	198.465	198.469	110
2025.08.25 00:30	198.465	198.499	198.421	198.421	115
2025.08.25 00:31	198.423	198.477	198.415	198.461	31
2025.08.25 00:32	198.461	198.475	198.457	198.463	25
2025.08.25 00:33	198.463	198.469	198.457	198.459	11
2025.08.25 00:34	198.459	198.473	198.433	198.433	19
2025.08.25 00:35	198.433	198.548	198.421	198.519	99
2025.08.25 00:36	198.519	198.527	198.489	198.515	125
2025.08.25 00:37	198.501	198.517	198.485	198.505	111
2025.08.25 00:38	198.505	198.513	198.49	198.513	128
2025.08.25 00:39	198.499	198.525	198.496	198.519	105
2025.08.25 00:40	198.507	198.517	198.499	198.503	58
2025.08.25 00:41	198.501	198.501	198.491	198.495	24
2025.08.25 00:42	198.492	198.492	198.49	198.49	2
2025.08.25 00:43	198.49	198.49	198.489	198.489	2
2025.08.25 00:44	198.489	198.489	198.448	198.448	5
2025.08.25 00:45	198.45	198.483	198.441	198.481	12
2025.08.25 00:46	198.481	198.481	198.481	198.481	1
2025.08.25 00:47	198.481	198.481	198.444	198.444	2
2025.08.25 00:48	198.444	198.52	198.444	198.52	10
2025.08.25 00:49	198.52	198.52	198.307	198.329	31
2025.08.25 00:50	198.329	198.37	198.329	198.337	30
2025.08.25 00:51	198.337	198.456	198.335	198.454	21
2025.08.25 00:52	198.454	198.472	198.454	198.472	3
2025.08.25 00:53	198.472	198.472	198.415	198.466	6
2025.08.25 00:54	198.466	198.468	198.466	198.468	3
2025.08.25 00:55	198.468	198.471	198.467	198.471	3
2025.08.25 00:56	198.471	198.471	198.469	198.469	2
2025.08.25 00:57	198.469	198.469	198.466	198.466	2
2025.08.25 00:58	198.466	198.471	198.418	198.436	11
2025.08.25 00:59	198.436	198.461	198.373	198.421	25
2025.08.25 01:00	198.368	198.629	198.306	198.575	97
2025.08.25 01:01	198.575	198.6	198.529	198.555	70
2025.08.25 01:02	198.554	198.609	198.536	198.584	48
2025.08.25 01:03	198.584	198.614	198.559	198.592	42
2025.08.25 01:04	198.592	198.609	198.574	198.577	56
2025.08.25 01:05	198.576	198.592	198.575	198.582	28
2025.08.25 01:06	198.576	198.58	198.563	198.564	26
2025.08.25 01:07	198.564	198.581	198.557	198.562	35
2025.08.25 01:08	198.561	198.593	198.559	198.593	18
2025.08.25 01:09	198.591	198.595	198.59	198.592	17
2025.08.25 01:10	198.596	198.639	198.593	198.638	51
2025.08.25 01:11	198.638	198.654	198.627	198.643	33
2025.08.25 01:12	198.643	198.643	198.626	198.626	12
2025.08.25 01:13	198.626	198.664	198.624	198.664	50
2025.08.25 01:14	198.664	198.674	198.642	198.667	69
2025.08.25 01:15	198.665	198.685	198.661	198.663	78
2025.08.25 01:16	198.662	198.663	198.643	198.659	55
2025.08.25 01:17	198.661	198.661	198.63	198.633	72
2025.08.25 01:18	198.633	198.635	198.616	198.617	77
2025.08.25 01:19	198.617	198.629	198.612	198.626	59
2025.08.25 01:20	198.626	198.655	198.625	198.651	40
2025.08.25 01:21	198.651	198.658	198.631	198.631	26
2025.08.25 01:22	198.631	198.653	198.631	198.645	33
2025.08.25 01:23	198.645	198.652	198.643	198.647	42
2025.08.25 01:24	198.646	198.648	198.602	198.603	59
2025.08.25 01:25	198.603	198.605	198.594	198.602	14
2025.08.25 01:26	198.602	198.632	198.602	198.602	8
2025.08.25 01:27	198.602	198.623	198.602	198.619	9
2025.08.25 01:28	198.619	198.622	198.605	198.611	25
2025.08.25 01:29	198.611	198.615	198.602	198.613	6
2025.08.25 01:30	198.613	198.641	198.613	198.621	44
2025.08.25 01:31	198.621	198.636	198.605	198.613	23
2025.08.25 01:32	198.612	198.634	198.612	198.634	24
2025.08.25 01:33	198.634	198.655	198.619	198.655	25
2025.08.25 01:34	198.655	198.655	198.638	198.655	49
2025.08.25 01:35	198.655	198.676	198.655	198.674	41
2025.08.25 01:36	198.674	198.674	198.637	198.645	34
2025.08.25 01:37	198.643	198.649	198.641	198.642	35
2025.08.25 01:38	198.642	198.665	198.641	198.661	28
2025.08.25 01:39	198.663	198.676	198.66	198.674	24
2025.08.25 01:40	198.674	198.674	198.634	198.651	68
2025.08.25 01:41	198.651	198.715	198.651	198.706	59
2025.08.25 01:42	198.706	198.716	198.693	198.697	27
2025.08.25 01:43	198.699	198.713	198.696	198.713	34
2025.08.25 01:44	198.713	198.721	198.706	198.708	58
2025.08.25 01:45	198.71	198.726	198.708	198.711	52
2025.08.25 01:46	198.711	198.722	198.698	198.722	43
2025.08.25 01:47	198.721	198.722	198.709	198.712	30
2025.08.25 01:48	198.712	198.719	198.705	198.708	40
2025.08.25 01:49	198.71	198.724	198.695	198.719	31
2025.08.25 01:50	198.721	198.731	198.716	198.722	37
2025.08.25 01:51	198.722	198.732	198.722	198.732	16
2025.08.25 01:52	198.732	198.745	198.724	198.735	37
2025.08.25 01:53	198.735	198.735	198.714	198.728	32
2025.08.25 01:54	198.728	198.737	198.717	198.719	31
2025.08.25 01:55	198.719	198.752	198.698	198.749	36
2025.08.25 01:56	198.749	198.758	198.735	198.745	35
2025.08.25 01:57	198.745	198.759	198.742	198.753	47
2025.08.25 01:58	198.753	198.76	198.733	198.746	41
2025.08.25 01:59	198.746	198.755	198.741	198.749	56
2025.08.25 02:00	198.754	198.774	198.748	198.768	72
2025.08.25 02:01	198.757	198.767	198.749	198.753	37
2025.08.25 02:02	198.758	198.758	198.752	198.754	27
2025.08.25 02:03	198.755	198.772	198.755	198.765	39
2025.08.25 02:04	198.765	198.765	198.746	198.754	39
2025.08.25 02:05	198.754	198.784	198.754	198.784	57
2025.08.25 02:06	198.784	198.836	198.784	198.819	85
2025.08.25 02:07	198.819	198.829	198.795	198.811	57
2025.08.25 02:08	198.811	198.811	198.78	198.794	34
2025.08.25 02:09	198.794	198.798	198.789	198.792	25
2025.08.25 02:10	198.792	198.792	198.779	198.786	23
2025.08.25 02:11	198.785	198.796	198.766	198.784	29
2025.08.25 02:12	198.784	198.802	198.783	198.786	48
2025.08.25 02:13	198.786	198.79	198.774	198.78	26
2025.08.25 02:14	198.779	198.78	198.766	198.769	21
2025.08.25 02:15	198.769	198.784	198.766	198.772	22
2025.08.25 02:16	198.772	198.783	198.762	198.778	36
2025.08.25 02:17	198.775	198.808	198.775	198.787	52
2025.08.25 02:18	198.787	198.817	198.764	198.809	51
2025.08.25 02:19	198.809	198.822	198.796	198.796	30
2025.08.25 02:20	198.795	198.824	198.795	198.824	52
2025.08.25 02:21	198.824	198.844	198.82	198.84	57
2025.08.25 02:22	198.84	198.862	198.824	198.855	58
2025.08.25 02:23	198.85	198.86	198.846	198.846	32
2025.08.25 02:24	198.847	198.872	198.846	198.872	24
2025.08.25 02:25	198.872	198.903	198.844	198.899	49
2025.08.25 02:26	198.899	198.919	198.888	198.914	79
2025.08.25 02:27	198.913	198.923	198.899	198.902	35
2025.08.25 02:28	198.9	198.914	198.892	198.895	38
2025.08.25 02:29	198.895	198.899	198.875	198.881	33
2025.08.25 02:30	198.881	198.898	198.881	198.897	50
2025.08.25 02:31	198.897	198.898	198.882	198.897	62
2025.08.25 02:32	198.897	198.916	198.897	198.915	32
2025.08.25 02:33	198.915	198.941	198.913	198.94	43
2025.08.25 02:34	198.938	198.953	198.933	198.94	38
2025.08.25 02:35	198.94	198.961	198.938	198.957	61
2025.08.25 02:36	198.957	198.96	198.951	198.956	25
2025.08.25 02:37	198.956	198.968	198.951	198.968	27
2025.08.25 02:38	198.968	198.971	198.965	198.97	25
