Time	Open	High	Low	Close	Volume
2025.06.24 00:00	0.00557	0.00557	0.005562	0.005563	90
2025.06.24 00:01	0.005569	0.005569	0.005569	0.005569	1
2025.06.24 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:04	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:05	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:06	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:07	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:08	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:09	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:10	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:11	0.005568	0.005568	0.005567	0.005567	6
2025.06.24 00:12	0.005567	0.005568	0.005566	0.005566	7
2025.06.24 00:13	0.005566	0.005566	0.005564	0.005564	6
2025.06.24 00:14	0.005564	0.005564	0.005564	0.005564	5
2025.06.24 00:15	0.005564	0.005569	0.005563	0.005566	10
2025.06.24 00:16	0.005566	0.005567	0.005566	0.005567	6
2025.06.24 00:17	0.005567	0.005569	0.005567	0.005569	12
2025.06.24 00:18	0.005569	0.00557	0.005569	0.00557	11
2025.06.24 00:19	0.005572	0.005572	0.005572	0.005572	1
2025.06.24 00:20	0.005572	0.005572	0.005571	0.005572	3
2025.06.24 00:21	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:22	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:23	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:24	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:25	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:26	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:27	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:28	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:29	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:30	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:31	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:32	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:33	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:34	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:35	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:36	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:37	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:38	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:39	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:40	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:41	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:42	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:43	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:44	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:45	0.005566	0.005566	0.005566	0.005566	5
2025.06.24 00:46	0.005566	0.005567	0.005566	0.005567	3
2025.06.24 00:47	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:48	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:49	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:50	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:51	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:52	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:53	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:54	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:55	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:56	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:57	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 00:58	0.005567	0.005567	0.005566	0.005566	4
2025.06.24 00:59	ERROR	ERROR	ERROR	ERROR	ERROR
2025.06.24 01:00	0.005565	0.005568	0.005564	0.005566	112
2025.06.24 01:01	0.005565	0.005566	0.005563	0.005564	59
2025.06.24 01:02	0.005564	0.005564	0.005563	0.005563	23
2025.06.24 01:03	0.005563	0.005563	0.005562	0.005562	46
2025.06.24 01:04	0.005562	0.005565	0.005562	0.005565	48
2025.06.24 01:05	0.005565	0.005568	0.005564	0.005566	69
2025.06.24 01:06	0.005566	0.005569	0.005566	0.005568	78
2025.06.24 01:07	0.005568	0.005568	0.005566	0.005566	49
2025.06.24 01:08	0.005566	0.005566	0.005563	0.005564	26
2025.06.24 01:09	0.005564	0.005565	0.005564	0.005565	16
2025.06.24 01:10	0.005565	0.005568	0.005565	0.005568	48
2025.06.24 01:11	0.005568	0.005568	0.005567	0.005567	20
2025.06.24 01:12	0.005567	0.005568	0.005566	0.005566	37
2025.06.24 01:13	0.005566	0.005567	0.005566	0.005567	24
2025.06.24 01:14	0.005566	0.005567	0.005566	0.005567	54
2025.06.24 01:15	0.005567	0.005567	0.005567	0.005567	49
2025.06.24 01:16	0.005567	0.005568	0.005565	0.005568	71
2025.06.24 01:17	0.005568	0.005569	0.005568	0.005568	60
2025.06.24 01:18	0.005568	0.005569	0.005567	0.005567	20
2025.06.24 01:19	0.005567	0.005569	0.005567	0.005569	46
2025.06.24 01:20	0.005569	0.005571	0.005569	0.00557	100
2025.06.24 01:21	0.00557	0.005571	0.00557	0.005571	95
2025.06.24 01:22	0.005571	0.005571	0.00557	0.00557	107
2025.06.24 01:23	0.00557	0.00557	0.00557	0.00557	66
2025.06.24 01:24	0.00557	0.00557	0.005569	0.005569	63
2025.06.24 01:25	0.005569	0.00557	0.005569	0.005569	51
2025.06.24 01:26	0.005569	0.00557	0.005569	0.005569	42
2025.06.24 01:27	0.005569	0.005569	0.005567	0.005568	72
2025.06.24 01:28	0.005568	0.005568	0.005567	0.005568	64
2025.06.24 01:29	0.005568	0.005569	0.005568	0.005569	58
2025.06.24 01:30	0.005569	0.005569	0.005568	0.005568	65
2025.06.24 01:31	0.005568	0.005569	0.005567	0.005568	54
2025.06.24 01:32	0.005568	0.005568	0.005567	0.005568	48
2025.06.24 01:33	0.005568	0.005568	0.005567	0.005567	105
2025.06.24 01:34	0.005567	0.005567	0.005567	0.005567	39
2025.06.24 01:35	0.005567	0.005568	0.005567	0.005567	41
2025.06.24 01:36	0.005567	0.005568	0.005567	0.005568	63
2025.06.24 01:37	0.005568	0.005568	0.005568	0.005568	54
2025.06.24 01:38	0.005568	0.005568	0.005567	0.005568	44
2025.06.24 01:39	0.005568	0.005568	0.005567	0.005568	93
2025.06.24 01:40	0.005568	0.005569	0.005568	0.005568	66
2025.06.24 01:41	0.005568	0.005569	0.005568	0.005569	93
2025.06.24 01:42	0.005569	0.00557	0.005569	0.005569	84
2025.06.24 01:43	0.005569	0.00557	0.005569	0.005569	59
2025.06.24 01:44	0.005569	0.005569	0.005568	0.005569	88
2025.06.24 01:45	0.005569	0.005569	0.005568	0.005569	53
2025.06.24 01:46	0.005568	0.005568	0.005566	0.005566	80
2025.06.24 01:47	0.005567	0.005567	0.005566	0.005567	61
2025.06.24 01:48	0.005567	0.005568	0.005567	0.005567	54
2025.06.24 01:49	0.005567	0.005567	0.005567	0.005567	31
2025.06.24 01:50	0.005567	0.005567	0.005567	0.005567	26
2025.06.24 01:51	0.005567	0.005567	0.005566	0.005567	46
2025.06.24 01:52	0.005567	0.005567	0.005566	0.005567	27
2025.06.24 01:53	0.005567	0.005568	0.005566	0.005567	45
2025.06.24 01:54	0.005567	0.005568	0.005567	0.005568	37
2025.06.24 01:55	0.005568	0.005568	0.005567	0.005568	26
2025.06.24 01:56	0.005568	0.005568	0.005567	0.005567	32
2025.06.24 01:57	0.005567	0.005568	0.005567	0.005568	61
2025.06.24 01:58	0.005568	0.005568	0.005567	0.005567	61
2025.06.24 01:59	0.005567	0.005568	0.005567	0.005568	56
2025.06.24 02:00	0.005568	0.00557	0.005568	0.005568	115
2025.06.24 02:01	0.005568	0.005569	0.005568	0.005569	69
2025.06.24 02:02	0.005569	0.005569	0.005568	0.005568	62
2025.06.24 02:03	0.005568	0.005569	0.005568	0.005568	67
2025.06.24 02:04	0.005568	0.005568	0.005568	0.005568	44
2025.06.24 02:05	0.005568	0.005569	0.005568	0.005569	67
2025.06.24 02:06	0.005569	0.005569	0.005568	0.005568	55
2025.06.24 02:07	0.005568	0.005568	0.005568	0.005568	55
2025.06.24 02:08	0.005568	0.005568	0.005568	0.005568	36
2025.06.24 02:09	0.005568	0.005569	0.005567	0.005568	41
2025.06.24 02:10	0.005568	0.005568	0.005567	0.005568	65
2025.06.24 02:11	0.005568	0.005568	0.005566	0.005566	108
2025.06.24 02:12	0.005566	0.005567	0.005565	0.005565	87
2025.06.24 02:13	0.005565	0.005566	0.005565	0.005566	95
2025.06.24 02:14	0.005566	0.005567	0.005566	0.005566	46
2025.06.24 02:15	0.005566	0.005567	0.005566	0.005567	75
2025.06.24 02:16	0.005567	0.005568	0.005567	0.005567	70
2025.06.24 02:17	0.005567	0.005568	0.005567	0.005568	117
2025.06.24 02:18	0.005567	0.005568	0.005567	0.005568	119
2025.06.24 02:19	0.005568	0.005568	0.005568	0.005568	92
2025.06.24 02:20	0.005568	0.005568	0.005568	0.005568	143
2025.06.24 02:21	0.005568	0.005571	0.005568	0.00557	104
2025.06.24 02:22	0.00557	0.005571	0.00557	0.005571	126
2025.06.24 02:23	0.005571	0.005572	0.005571	0.005572	94
2025.06.24 02:24	0.005572	0.005572	0.005571	0.005571	90
2025.06.24 02:25	0.005571	0.005574	0.005571	0.005574	106
2025.06.24 02:26	0.005574	0.005574	0.005573	0.005573	99
2025.06.24 02:27	0.005573	0.005574	0.005573	0.005574	85
2025.06.24 02:28	0.005574	0.005575	0.005574	0.005574	92
2025.06.24 02:29	0.005574	0.005574	0.005573	0.005573	61
2025.06.24 02:30	0.005573	0.005573	0.005573	0.005573	69
2025.06.24 02:31	0.005573	0.005574	0.005573	0.005573	60
2025.06.24 02:32	0.005573	0.005574	0.005573	0.005573	74
2025.06.24 02:33	0.005573	0.005574	0.005573	0.005573	65
2025.06.24 02:34	0.005573	0.005573	0.005573	0.005573	76
2025.06.24 02:35	0.005573	0.005573	0.005573	0.005573	80
2025.06.24 02:36	0.005573	0.005573	0.005573	0.005573	96
2025.06.24 02:37	0.005573	0.005574	0.005573	0.005574	117
2025.06.24 02:38	0.005574	0.005574	0.005573	0.005574	86
2025.06.24 02:39	0.005574	0.005574	0.005573	0.005574	101
2025.06.24 02:40	0.005574	0.005574	0.005573	0.005573	87
2025.06.24 02:41	0.005573	0.005574	0.005572	0.005573	74
2025.06.24 02:42	0.005573	0.005574	0.005571	0.005572	87
