Time	Open	High	Low	Close	Volume
2025.07.03 00:00	112.776	112.776	112.776	112.776	1
2025.07.03 00:01	112.758	112.759	112.743	112.743	3
2025.07.03 00:02	112.759	112.759	112.743	112.743	2
2025.07.03 00:03	112.759	112.759	112.743	112.743	2
2025.07.03 00:04	112.759	112.759	112.743	112.743	2
2025.07.03 00:05	112.751	112.76	112.751	112.76	2
2025.07.03 00:06	112.803	112.803	112.76	112.76	2
2025.07.03 00:07	112.803	112.803	112.76	112.76	2
2025.07.03 00:08	112.801	112.801	112.752	112.76	5
2025.07.03 00:09	ERROR	ERROR	ERROR	ERROR	ERROR
2025.07.03 00:10	112.759	112.806	112.759	112.76	4
2025.07.03 00:11	112.76	112.76	112.76	112.76	1
2025.07.03 00:12	112.781	112.856	112.768	112.784	11
2025.07.03 00:13	112.784	112.788	112.784	112.784	11
2025.07.03 00:14	112.786	112.788	112.783	112.783	6
2025.07.03 00:15	112.783	112.788	112.783	112.784	6
2025.07.03 00:16	112.782	112.787	112.782	112.783	7
2025.07.03 00:17	112.783	112.785	112.772	112.777	12
2025.07.03 00:18	112.773	112.778	112.763	112.763	12
2025.07.03 00:19	112.755	112.756	112.755	112.755	3
2025.07.03 00:20	112.763	112.764	112.76	112.762	10
2025.07.03 00:21	112.763	112.766	112.763	112.763	7
2025.07.03 00:22	112.764	112.768	112.763	112.764	11
2025.07.03 00:23	112.766	112.772	112.764	112.768	10
2025.07.03 00:24	112.767	112.774	112.767	112.767	10
2025.07.03 00:25	112.766	112.772	112.765	112.772	14
2025.07.03 00:26	112.767	112.773	112.767	112.771	8
2025.07.03 00:27	112.804	112.804	112.731	112.772	4
2025.07.03 00:28	112.775	112.778	112.772	112.778	17
2025.07.03 00:29	112.777	112.778	112.774	112.776	9
2025.07.03 00:30	112.776	112.788	112.775	112.788	19
2025.07.03 00:31	112.785	112.789	112.778	112.782	15
2025.07.03 00:32	112.782	112.806	112.782	112.806	22
2025.07.03 00:33	112.807	112.808	112.764	112.764	5
2025.07.03 00:34	112.762	112.765	112.752	112.752	6
2025.07.03 00:35	112.752	112.753	112.752	112.752	3
