Time	Open	High	Low	Close	Volume
2025.08.26 00:00	7.1569	7.15741	7.15493	7.15493	3
2025.08.26 00:01	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.26 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.26 00:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.26 00:04	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.26 00:05	ERROR	ERROR	ERROR	ERROR	ERROR
2025.08.26 00:06	7.1546	7.1546	7.1546	7.1546	1
2025.08.26 00:07	7.1546	7.1546	7.1546	7.1546	1
2025.08.26 00:08	7.1546	7.1546	7.1546	7.1546	1
2025.08.26 00:09	7.1546	7.1546	7.1546	7.1546	1
2025.08.26 00:10	7.1546	7.15496	7.1546	7.15494	13
2025.08.26 00:11	7.15501	7.15504	7.15488	7.15496	9
2025.08.26 00:12	7.15508	7.15565	7.1546	7.15565	10
2025.08.26 00:13	7.15569	7.15581	7.15567	7.15577	14
2025.08.26 00:14	7.15577	7.15577	7.15518	7.15541	13
2025.08.26 00:15	7.15541	7.15564	7.1554	7.15542	20
2025.08.26 00:16	7.15547	7.15558	7.15547	7.15558	9
2025.08.26 00:17	7.15558	7.15558	7.15553	7.15553	2
2025.08.26 00:18	7.15553	7.15553	7.15547	7.15547	4
2025.08.26 00:19	7.1555	7.15552	7.15549	7.15551	4
2025.08.26 00:20	7.15551	7.15555	7.15524	7.15532	19
2025.08.26 00:21	7.15532	7.15544	7.15532	7.15534	6
2025.08.26 00:22	7.15534	7.15534	7.15531	7.15533	6
2025.08.26 00:23	7.15533	7.15533	7.15383	7.15494	12
2025.08.26 00:24	7.15494	7.1552	7.1549	7.1552	11
2025.08.26 00:25	7.1552	7.15521	7.1538	7.15475	15
2025.08.26 00:26	7.15475	7.15501	7.15475	7.155	11
2025.08.26 00:27	7.155	7.155	7.15495	7.15495	6
2025.08.26 00:28	7.15499	7.15505	7.15492	7.15504	6
2025.08.26 00:29	7.15504	7.15515	7.15501	7.15506	8
2025.08.26 00:30	7.15506	7.15518	7.1547	7.15508	41
