Time	Open	High	Low	Close	Volume
2025.09.03 00:00	339.27	339.27	339.27	339.27	1
2025.09.03 00:01	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.03 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.03 00:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.03 00:04	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.03 00:05	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.03 00:06	339.473	339.491	339.473	339.488	6
2025.09.03 00:07	339.488	339.491	339.479	339.479	3
2025.09.03 00:08	339.479	339.479	339.473	339.479	4
2025.09.03 00:09	339.479	339.485	339.476	339.485	7
2025.09.03 00:10	339.485	339.491	339.467	339.491	14
2025.09.03 00:11	339.491	339.491	339.485	339.485	4
2025.09.03 00:12	339.485	339.497	339.485	339.494	8
2025.09.03 00:13	339.494	339.494	339.479	339.488	5
2025.09.03 00:14	339.488	339.491	339.462	339.462	6
2025.09.03 00:15	339.462	339.464	339.459	339.464	5
2025.09.03 00:16	339.459	339.476	339.459	339.459	8
2025.09.03 00:17	339.459	339.47	339.459	339.459	9
2025.09.03 00:18	339.459	339.494	339.459	339.491	7
2025.09.03 00:19	339.491	339.499	339.459	339.482	13
2025.09.03 00:20	339.482	339.482	339.309	339.312	11
2025.09.03 00:21	339.312	339.323	339.312	339.321	10
2025.09.03 00:22	339.321	339.323	339.318	339.323	3
2025.09.03 00:23	339.318	339.323	339.318	339.321	4
2025.09.03 00:24	339.321	339.321	339.318	339.318	2
2025.09.03 00:25	339.318	339.318	339.312	339.312	5
2025.09.03 00:26	339.286	339.289	339.283	339.289	4
2025.09.03 00:27	339.289	339.289	339.271	339.271	8
2025.09.03 00:28	339.271	339.28	339.269	339.28	5
2025.09.03 00:29	339.28	339.28	339.271	339.274	7
2025.09.03 00:30	339.274	339.28	339.269	339.271	24
2025.09.03 00:31	339.271	339.274	339.26	339.26	12
2025.09.03 00:32	339.26	339.277	339.251	339.26	21
2025.09.03 00:33	339.26	339.309	339.26	339.306	7
2025.09.03 00:34	339.306	339.405	339.306	339.312	4
2025.09.03 00:35	339.312	339.402	339.309	339.39	29
2025.09.03 00:36	339.39	339.39	339.384	339.384	7
2025.09.03 00:37	339.384	339.384	339.317	339.335	10
2025.09.03 00:38	339.335	339.344	339.3	339.314	20
2025.09.03 00:39	339.314	339.314	339.303	339.303	9
2025.09.03 00:40	339.3	339.317	339.3	339.317	9
2025.09.03 00:41	339.32	339.32	339.297	339.297	6
2025.09.03 00:42	339.297	339.3	339.291	339.297	8
2025.09.03 00:43	339.297	339.303	339.294	339.294	6
2025.09.03 00:44	339.294	339.309	339.294	339.303	6
2025.09.03 00:45	339.303	339.303	339.297	339.3	4
2025.09.03 00:46	339.3	339.309	339.3	339.303	8
2025.09.03 00:47	339.303	339.312	339.297	339.306	13
2025.09.03 00:48	339.306	339.306	339.294	339.294	13
2025.09.03 00:49	339.294	339.3	339.291	339.297	13
2025.09.03 00:50	339.297	339.314	339.294	339.309	8
2025.09.03 00:51	339.309	339.312	339.303	339.303	5
2025.09.03 00:52	339.309	339.309	339.297	339.303	14
2025.09.03 00:53	339.303	339.309	339.297	339.303	30
2025.09.03 00:54	339.306	339.306	339.28	339.291	11
2025.09.03 00:55	339.28	339.311	339.271	339.302	18
2025.09.03 00:56	339.3	339.308	339.259	339.259	14
2025.09.03 00:57	339.259	339.268	339.219	339.219	21
2025.09.03 00:58	339.219	339.243	339.216	339.24	10
2025.09.03 00:59	339.24	339.266	339.237	339.248	48
2025.09.03 01:00	339.246	339.274	339.211	339.274	43
2025.09.03 01:01	339.274	339.274	339.171	339.258	49
2025.09.03 01:02	339.249	339.252	339.147	339.216	25
2025.09.03 01:03	339.216	339.269	339.216	339.261	35
2025.09.03 01:04	339.261	339.28	339.261	339.28	30
2025.09.03 01:05	339.288	339.314	339.288	339.312	27
2025.09.03 01:06	339.312	339.316	339.227	339.25	34
2025.09.03 01:07	339.25	339.29	339.25	339.287	26
2025.09.03 01:08	339.291	339.345	339.271	339.345	39
2025.09.03 01:09	339.343	339.37	339.27	339.271	34
2025.09.03 01:10	339.274	339.329	339.273	339.314	46
2025.09.03 01:11	339.315	339.372	339.315	339.372	45
2025.09.03 01:12	339.373	339.409	339.357	339.409	56
2025.09.03 01:13	339.409	339.409	339.252	339.252	44
2025.09.03 01:14	339.252	339.29	339.252	339.29	29
2025.09.03 01:15	339.291	339.339	339.291	339.339	25
2025.09.03 01:16	339.339	339.392	339.339	339.392	59
2025.09.03 01:17	339.392	339.392	339.389	339.389	10
2025.09.03 01:18	339.392	339.392	339.389	339.392	9
2025.09.03 01:19	339.392	339.395	339.392	339.392	3
2025.09.03 01:20	339.392	339.399	339.392	339.399	11
2025.09.03 01:21	339.399	339.399	339.25	339.305	31
2025.09.03 01:22	339.303	339.338	339.301	339.308	47
2025.09.03 01:23	339.309	339.323	339.288	339.323	49
2025.09.03 01:24	339.327	339.371	339.317	339.371	55
2025.09.03 01:25	339.372	339.411	339.372	339.402	24
2025.09.03 01:26	339.402	339.405	339.399	339.405	8
2025.09.03 01:27	339.405	339.44	339.402	339.44	13
2025.09.03 01:28	339.44	339.451	339.338	339.345	18
2025.09.03 01:29	339.345	339.349	339.321	339.343	41
2025.09.03 01:30	339.343	339.375	339.343	339.366	39
2025.09.03 01:31	339.366	339.396	339.366	339.396	33
2025.09.03 01:32	339.394	339.426	339.392	339.421	27
2025.09.03 01:33	339.423	339.431	339.423	339.428	12
2025.09.03 01:34	339.431	339.437	339.431	339.437	4
2025.09.03 01:35	339.437	339.448	339.437	339.437	11
2025.09.03 01:36	339.437	339.439	339.431	339.431	11
2025.09.03 01:37	339.431	339.431	339.425	339.426	10
2025.09.03 01:38	339.426	339.429	339.421	339.421	11
2025.09.03 01:39	339.421	339.422	339.415	339.42	9
2025.09.03 01:40	339.42	339.42	339.415	339.415	6
