Time	Open	High	Low	Close	Volume
2025.09.03 00:00	41.11653	41.11653	41.10415	41.10415	2
2025.09.03 00:01	41.14499	41.1486	41.14136	41.1486	4
2025.09.03 00:02	41.1486	41.16112	41.1486	41.16112	3
2025.09.03 00:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.03 00:04	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.03 00:05	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.03 00:06	41.14536	41.14537	41.14536	41.14537	2
2025.09.03 00:07	41.14904	41.14988	41.14154	41.14987	19
2025.09.03 00:08	41.14987	41.14988	41.14987	41.14987	15
2025.09.03 00:09	41.14987	41.14988	41.13373	41.13514	16
2025.09.03 00:10	41.14058	41.1406	41.14058	41.1406	3
2025.09.03 00:11	41.14061	41.14065	41.14061	41.14065	4
2025.09.03 00:12	41.14066	41.14069	41.14066	41.14069	4
2025.09.03 00:13	41.1407	41.14071	41.1407	41.14071	2
2025.09.03 00:14	41.14072	41.14072	41.13139	41.13841	24
2025.09.03 00:15	41.138419999999996	41.13942	41.138419999999996	41.13942	5
2025.09.03 00:16	41.13956	41.14558	41.136	41.13933	4
2025.09.03 00:17	41.13251	41.13772	41.13251	41.13772	18
2025.09.03 00:18	41.13956	41.15772	41.13171	41.15772	28
2025.09.03 00:19	41.15785	41.16133	41.15785	41.16133	41
2025.09.03 00:20	41.16133	41.16433	41.16133	41.16433	39
2025.09.03 00:21	41.16433	41.1646	41.16433	41.1646	7
2025.09.03 00:22	41.1646	41.16492	41.1646	41.16492	9
2025.09.03 00:23	41.16492	41.16493	41.1646	41.1646	9
2025.09.03 00:24	41.16461	41.16461	41.16391	41.16391	3
2025.09.03 00:25	41.16391	41.16391	41.16357	41.16357	3
2025.09.03 00:26	41.16357	41.16357	41.16249	41.16249	4
2025.09.03 00:27	41.16249	41.16249	41.16249	41.16249	1
2025.09.03 00:28	41.16249	41.16249	41.16249	41.16249	1
2025.09.03 00:29	41.16249	41.16249	41.16249	41.16249	1
2025.09.03 00:30	41.16249	41.16249	41.16249	41.16249	1
2025.09.03 00:31	41.16249	41.16249	41.16249	41.16249	1
2025.09.03 00:32	41.16249	41.16249	41.16249	41.16249	1
2025.09.03 00:33	41.16249	41.16249	41.16249	41.16249	1
2025.09.03 00:34	41.16249	41.16249	41.16249	41.16249	1
2025.09.03 00:35	41.16249	41.16249	41.14687	41.14823	5
2025.09.03 00:36	41.14823	41.16521	41.14823	41.16521	16
2025.09.03 00:37	41.16521	41.16542	41.16521	41.16542	16
2025.09.03 00:38	41.16542	41.16543	41.16542	41.16542	3
2025.09.03 00:39	41.16542	41.16542	41.16542	41.16542	1
2025.09.03 00:40	41.16542	41.16542	41.16542	41.16542	1
2025.09.03 00:41	41.16542	41.16542	41.16542	41.16542	1
2025.09.03 00:42	41.16542	41.16542	41.16542	41.16542	1
